Algorithm	Maze	ComputedPath	OptimalPath	PathLengthRatio	Time	TimeSD	Start	End	Trails
AStar-PS	2	7.28011	7.28011	1.0	0.092	0.14823404916999783	(23,27)	(21,20)	50
AStar-PS	2	7.335088	7.335088	1.0	0.126	0.16276772816911014	(7,8)	(13,5)	50
AStar-PS	2	22.128407	22.090721	1.0017058849334717	0.0	0.0	(11,24)	(13,2)	50
AStar-PS	2	28.093369	27.792482	1.0108262300491333	0.312	0.010327955589886235	(25,30)	(19,4)	50
AStar-PS	2	1.4142135	1.4142135	1.0	0.062	0.13079245645933357	(13,13)	(12,12)	50
AStar-PS	2	22.06702	21.790966	1.012668251991272	0.0	0.0	(23,2)	(25,23)	50
AStar-PS	2	9.398346	9.398346	1.0	0.094	0.15145222935888986	(6,25)	(6,30)	50
AStar-PS	2	18.45851	18.45851	1.0	0.126	0.16276772816911014	(10,23)	(6,7)	50
AStar-PS	2	30.246212	30.246212	1.0	0.156	0.16460052652811694	(4,0)	(4,30)	50
AStar-PS	2	9.246211	9.246211	1.0	0.124	0.16022206811519787	(16,18)	(8,21)	50
AStar-PS	2	9.0	9.0	1.0	0.064	0.13492384683385086	(12,24)	(3,24)	50
AStar-PS	2	19.848194	19.302757	1.028256893157959	0.312	0.010327955589886235	(21,8)	(27,26)	50
AStar-PS	2	13.909269	13.909269	1.0	0.248	0.13104706533659324	(17,16)	(5,12)	50
AStar-PS	2	20.451235	20.451235	1.0	0.308	0.010327955589885637	(19,21)	(6,15)	50
AStar-PS	2	11.0	11.0	1.0	0.062	0.13079245645933357	(11,5)	(9,14)	50
AStar-PS	2	16.661903	16.643316	1.0011167526245117	0.124	0.16022206811519787	(30,8)	(16,17)	50
AStar-PS	2	11.87526	11.87526	1.0	0.094	0.15145222935888986	(3,17)	(11,23)	50
AStar-PS	2	26.328999	26.314821	1.00053870677948	0.156	0.16460052652811694	(29,6)	(9,21)	50
AStar-PS	2	15.369317	15.369316	1.0000001192092896	0.126	0.16276772816911014	(17,12)	(11,0)	50
AStar-PS	2	28.878302	28.2154	1.0234942436218262	0.186	0.16029140130815914	(9,29)	(10,1)	50
AStar-PS	2	10.046318	10.046318	1.0	0.062	0.13079245645933357	(21,13)	(14,20)	50
AStar-PS	2	10.828427	10.828427	1.0	0.062	0.13079245645933357	(19,24)	(17,14)	50
AStar-PS	2	21.107674	21.107674	1.0	0.0	0.0	(18,6)	(29,16)	50
AStar-PS	2	12.456232	12.456232	1.0	0.126	0.16276772816911014	(10,24)	(1,30)	50
AStar-PS	2	15.044359	15.044359	1.0	0.062	0.13079245645933357	(13,18)	(21,8)	50
AStar-PS	2	24.899494	24.6351	1.0107324123382568	0.34199999999999997	0.09818350166906871	(26,11)	(8,22)	50
AStar-PS	2	23.88139	23.88139	1.0	0.312	0.010327955589886235	(0,23)	(18,23)	50
AStar-PS	2	6.708204	6.708204	1.0	0.092	0.14823404916999783	(24,24)	(21,18)	50
AStar-PS	2	32.108532	32.108532	1.0	0.312	0.010327955589886235	(25,9)	(2,28)	50
AStar-PS	2	15.407318	15.407318	1.0	0.312	0.010327955589886235	(10,20)	(5,9)	50
AStar-PS	2	21.092636	21.092636	1.0	0.22000000000000003	0.15202339001321838	(23,24)	(8,12)	50
AStar-PS	2	10.358485	10.358485	1.0	0.094	0.15145222935888986	(14,16)	(23,11)	50
AStar-PS	2	15.4158	15.4158	1.0	0.21800000000000003	0.1506873142194347	(8,26)	(14,24)	50
AStar-PS	2	31.336521	31.005072	1.0106902122497559	0.21800000000000003	0.1506873142194347	(1,26)	(30,19)	50
AStar-PS	2	23.662828	23.662828	1.0	0.0	0.0	(6,6)	(29,4)	50
AStar-PS	2	11.830952	11.830952	1.0	0.062	0.13079245645933357	(16,11)	(11,4)	50
AStar-PS	2	31.52885	31.465593	1.0020103454589844	0.34199999999999997	0.10517709932405561	(25,29)	(16,0)	50
AStar-PS	2	32.306297	32.232704	1.0022832155227661	0.25	0.132077418374393	(3,0)	(27,21)	50
AStar-PS	2	2.236068	2.236068	1.0	0.124	0.16022206811519787	(25,26)	(26,24)	50
AStar-PS	2	19.029387	19.029387	1.0	0.124	0.16022206811519787	(28,11)	(27,30)	50
AStar-PS	2	30.977169	30.977169	1.0	0.312	0.010327955589886235	(15,2)	(3,29)	50
AStar-PS	2	9.055386	9.055386	1.0	0.126	0.16276772816911014	(3,14)	(2,23)	50
AStar-PS	2	17.135563	17.061771	1.0043249130249023	0.25	0.132077418374393	(21,23)	(7,23)	50
AStar-PS	2	20.330294	20.330294	1.0	0.0	0.0	(1,22)	(14,7)	50
AStar-PS	2	31.883255	31.87361	1.0003026723861694	0.562	0.1331498737847274	(12,27)	(27,4)	50
AStar-PS	2	20.186913	20.008766	1.0089033842086792	0.156	0.16460052652811694	(8,18)	(4,3)	50
AStar-PS	2	32.929474	32.253872	1.0209463834762573	0.25	0.132077418374393	(0,30)	(13,1)	50
