Algorithm	Maze	ComputedPath	OptimalPath	PathLengthRatio	Time	TimeSD	Start	End	Trails
AStar	7	306.59305	290.69052	1.05470609664917	53.2	11.00302988574813	(210,217)	(244,471)	1
AStar	7	236.86511	225.38187	1.0509501695632935	65.4	21.552004289366877	(423,181)	(303,144)	1
AStar	7	146.71074	140.46623	1.0444555282592773	28.1	6.384877968032476	(346,452)	(448,500)	1
AStar	7	384.5342	365.89145	1.050951600074768	100.0	7.745966692414834	(172,165)	(455,184)	1
AStar	7	302.97784	289.64417	1.0460346937179565	42.4	7.411702458499902	(418,19)	(249,172)	1
AStar	7	95.56857	92.30689	1.0353351831436157	20.2	7.465476095557026	(123,431)	(174,417)	1
AStar	7	492.75967	466.3383	1.056657075881958	159.2	6.74619234169283	(92,230)	(457,89)	1
AStar	7	331.49255	317.43515	1.0442843437194824	67.0	7.60116950066092	(316,365)	(158,148)	1
AStar	7	422.5048	405.94785	1.0407859086990356	101.4	8.235424835563832	(411,477)	(89,366)	1
AStar	7	635.6112	604.4343	1.0515803098678589	273.1	19.919002652408487	(474,98)	(125,419)	1
AStar	7	300.37985	288.3532	1.041707992553711	51.5	7.487025815072068	(116,463)	(361,383)	1
AStar	7	551.61707	527.75977	1.0452048778533936	196.5	7.975657409336932	(479,329)	(59,332)	1
AStar	7	536.78894	513.34595	1.045667052268982	109.5	0.5270462766947299	(463,305)	(109,360)	1
AStar	7	435.919	416.01135	1.0478535890579224	93.6	0.5163977794952616	(457,76)	(427,379)	1
AStar	7	439.96066	419.0016	1.0500215291976929	156.0	0.0	(259,15)	(435,258)	1
AStar	7	273.2499	258.97018	1.0551403760910034	46.7	7.318925239860461	(283,262)	(455,403)	1
AStar	7	324.2205	309.641	1.047085165977478	73.3	7.572611467944535	(176,320)	(411,378)	1
AStar	7	420.33322	400.89752	1.04848051071167	146.6	25.5525602109326	(318,62)	(362,382)	1
AStar	7	72.355354	67.8991	1.065630555152893	18.5	7.121953539740499	(229,448)	(270,484)	1
AStar	7	194.43866	184.56757	1.0534822940826416	34.3	6.447221623821141	(304,242)	(184,143)	1
AStar	7	438.33322	421.8172	1.0391544103622437	81.0	6.324555320336759	(467,161)	(497,443)	1
AStar	7	233.99503	223.33078	1.0477509498596191	32.8	5.0066622281382935	(460,233)	(330,236)	1
AStar	7	235.48033	225.83704	1.0427002906799316	43.9	6.539622822966691	(420,418)	(383,229)	1
AStar	7	153.92395	146.74664	1.0489095449447632	30.0	4.944132324730441	(459,79)	(371,139)	1
AStar	7	458.00232	439.39432	1.0423492193222046	88.8	7.465476095557066	(464,156)	(439,490)	1
AStar	7	462.03174	438.60663	1.0534080266952515	93.4	0.516397779493696	(222,67)	(1,342)	1
AStar	7	420.3038	400.48013	1.049499750137329	123.3	8.680117766738254	(159,495)	(240,171)	1
AStar	7	99.325935	93.543495	1.0618155002593994	20.3	7.394442357458588	(72,167)	(131,225)	1
AStar	7	246.62248	235.73419	1.0461888313293457	42.2	7.509993342207424	(294,273)	(385,451)	1
AStar	7	566.2445	541.8897	1.044944167137146	143.6	23.104593097958354	(390,21)	(366,472)	1
AStar	7	139.19601	131.9604	1.054831624031067	26.5	7.487025815072068	(106,197)	(169,294)	1
AStar	7	363.70578	346.25665	1.0503935813903809	118.7	7.930952023559382	(359,260)	(368,11)	1
AStar	7	138.71072	132.0624	1.050342321395874	31.2	0.42163702135583186	(391,215)	(293,193)	1
AStar	7	381.5342	364.2649	1.0474086999893188	66.8	7.728734264634409	(333,167)	(217,440)	1
AStar	7	499.64694	477.05728	1.0473520755767822	148.2	8.230026326406083	(107,191)	(493,159)	1
AStar	7	440.84793	421.06558	1.046981692314148	124.8	0.42163702135655085	(108,41)	(52,380)	1
AStar	7	305.17883	291.6174	1.0465041399002075	68.8	7.927448797970573	(371,406)	(123,368)	1
AStar	7	252.82347	241.72021	1.0459343194961548	53.1	7.880355321938203	(370,411)	(162,382)	1
AStar	7	99.84065	95.963585	1.0404014587402344	21.8	8.148619514985347	(212,371)	(235,436)	1
AStar	7	369.5048	352.3098	1.0488064289093018	70.5	7.905694150420948	(416,14)	(224,218)	1
AStar	7	399.67636	382.40723	1.0451589822769165	93.6	0.5163977794952616	(417,457)	(125,408)	1
AStar	7	113.66908	107.521614	1.0571742057800293	22.0	8.192137151629671	(261,164)	(276,82)	1
AStar	7	250.16661	238.31781	1.0497184991836548	42.0	7.60116950066092	(15,457)	(73,259)	1
AStar	7	316.59305	302.39316	1.046958327293396	59.2	6.713171133426178	(79,244)	(166,467)	1
AStar	7	362.8896	346.62518	1.046922206878662	48.4	5.146735750831691	(255,4)	(483,215)	1
AStar	7	359.49255	342.90195	1.0483829975128174	88.9	7.534365710971695	(179,390)	(70,146)	1
AStar	7	628.84186	599.2789	1.0493309497833252	296.5	0.5270462766947299	(478,327)	(27,270)	1
AStar	7	115.63965	109.86642	1.0525476932525635	26.5	7.720823214600313	(301,196)	(353,172)	1
AStar	7	290.10776	276.03387	1.0509860515594482	53.1	8.102811583367547	(428,164)	(243,229)	1
AStar	7	203.81123	194.93733	1.045521855354309	24.9	8.102811583367574	(321,473)	(157,486)	1
AStar	7	441.34546	419.25528	1.0526890754699707	106.0	6.599663291074443	(394,236)	(133,13)	1
AStar	7	427.06116	405.97034	1.0519516468048096	82.7	10.687999500997947	(68,19)	(378,121)	1
AStar	7	342.97784	327.1818	1.0482791662216187	53.1	8.102811583367547	(343,149)	(98,278)	1
AStar	7	285.65192	273.99466	1.0425455570220947	46.8	0.4216370213560715	(455,338)	(281,227)	1
AStar	7	343.33322	329.18286	1.042986273765564	85.9	8.332666639997827	(447,479)	(395,208)	1
AStar	7	193.82346	184.11104	1.0527530908584595	34.3	6.447221623821141	(430,329)	(298,355)	1
AStar	7	128.15436	121.36647	1.0559288263320923	28.1	6.657493689236369	(375,257)	(455,230)	1
AStar	7	8.828427	8.246211	1.0706040859222412	15.6	0.5163977794943321	(255,65)	(247,63)	1
AStar	7	411.8896	390.48083	1.0548266172409058	76.4	5.059644256269343	(467,91)	(297,355)	1
AStar	7	378.77686	362.08893	1.0460879802703857	123.3	5.03432661280981	(346,467)	(181,248)	1
AStar	7	107.91171	104.38136	1.033821702003479	20.3	7.631076813486631	(319,251)	(386,251)	1
AStar	7	404.5048	385.5322	1.0492113828659058	92.1	4.976611966656233	(352,362)	(459,44)	1
AStar	7	512.718	491.4279	1.043323040008545	137.2	6.972963661329815	(468,382)	(81,239)	1
AStar	7	294.49255	279.6091	1.0532294511795044	62.3	7.557924465236661	(193,241)	(237,447)	1
AStar	7	324.4509	311.45468	1.0417274236679077	85.9	13.403565031571075	(348,322)	(349,101)	1
AStar	7	298.52197	283.91388	1.0514525175094604	78.0	0.0	(66,52)	(210,189)	1
AStar	7	357.10776	340.9602	1.0473591089248657	46.8	0.4216370213560715	(318,483)	(19,425)	1
AStar	7	501.83078	475.6295	1.0550875663757324	170.0	4.944132324730441	(40,328)	(345,95)	1
AStar	7	202.43867	193.64413	1.045415997505188	32.8	5.0066622281382935	(231,352)	(304,236)	1
AStar	7	549.931	524.4423	1.048601508140564	104.7	7.394442357458636	(1,57)	(450,16)	1
AStar	7	105.56858	100.008194	1.055599331855774	23.5	8.343327340522551	(13,401)	(72,359)	1
AStar	7	409.23273	392.58057	1.0424171686172485	123.1	9.036346360977879	(118,447)	(364,258)	1
AStar	7	230.68132	219.3201	1.0518020391464233	50.0	6.599663291074443	(499,404)	(366,494)	1
AStar	7	332.6053	317.48175	1.0476359128952026	62.4	0.5163977794944788	(149,58)	(339,237)	1
AStar	7	348.2205	331.48566	1.050484299659729	62.5	0.5270462766947299	(329,255)	(208,489)	1
AStar	7	436.19107	415.1016	1.0508055686950684	96.6	6.552353266829735	(483,128)	(157,252)	1
AStar	7	182.85287	175.31648	1.04298734664917	31.5	0.5270462766947299	(98,181)	(198,97)	1
AStar	7	252.27933	238.6773	1.0569891929626465	37.5	7.975657409336932	(236,259)	(245,457)	1
AStar	7	397.6053	379.20932	1.0485113859176636	82.8	7.728734264634409	(103,141)	(216,442)	1
AStar	7	204.23769	196.39511	1.0399326086044312	34.3	6.447221623821141	(164,269)	(71,403)	1
AStar	7	424.2205	404.73413	1.04814612865448	115.4	8.058122196475596	(151,242)	(480,250)	1
AStar	7	436.77686	417.4289	1.046350359916687	110.9	4.976611966656233	(429,377)	(80,346)	1
AStar	7	376.97784	361.036	1.0441558361053467	82.6	7.411702458499957	(23,406)	(137,130)	1
AStar	7	357.39206	342.02084	1.0449423789978027	67.1	7.5343657109718025	(47,47)	(224,207)	1
AStar	7	428.8896	408.83133	1.0490623712539673	89.0	7.60116950066092	(161,45)	(490,193)	1
AStar	7	441.13223	417.4415	1.0567522048950195	143.5	16.46713899457543	(119,231)	(432,99)	1
AStar	7	441.32098	421.74115	1.0464261770248413	120.1	16.40088073515845	(104,188)	(439,289)	1
AStar	7	146.3676	139.63339	1.0482277870178223	29.7	4.831608887776874	(421,365)	(354,476)	1
AStar	7	347.56363	329.23596	1.0556672811508179	95.0	4.944132324730441	(223,172)	(452,131)	1
AStar	7	209.3676	201.05405	1.0413498878479004	29.4	5.059644256269423	(158,186)	(162,365)	1
AStar	7	363.7352	348.07257	1.0449981689453125	68.6	8.099382692526694	(147,200)	(265,475)	1
AStar	7	573.9011	548.86053	1.0456228256225586	126.3	4.831608887776937	(488,427)	(475,5)	1
AStar	7	126.710724	121.71928	1.0410078763961792	15.6	0.5163977794943321	(115,167)	(29,175)	1
AStar	7	444.37488	423.8107	1.0485221147537231	171.6	0.5163977794968271	(62,390)	(217,99)	1
AStar	7	280.8651	269.68808	1.0414443016052246	46.8	0.4216370213560715	(182,388)	(314,229)	1
AStar	7	221.65189	210.55176	1.052719235420227	56.2	8.148619514985311	(317,483)	(343,364)	1
AStar	7	335.76462	321.55496	1.0441904067993164	85.8	11.003029885748166	(468,61)	(271,136)	1
AStar	7	276.30875	264.2439	1.045657992362976	31.2	0.42163702135583186	(284,172)	(58,210)	1
AStar	7	172.53915	164.37636	1.0496591329574585	28.1	6.657493689236369	(102,476)	(150,343)	1
AStar	7	189.61023	181.84329	1.0427122116088867	31.2	0.42163702135583186	(433,466)	(304,478)	1
