Algorithm	Maze	ComputedPath	OptimalPath	PathLengthRatio	Time	TimeSD	Start	End	Trails
BFS-PS	3	20.472136	16.892445	1.2119107246398926	0.15	0.4743416490252569	(10,26)	(17,11)	10
BFS-PS	3	25.0	25.0	1.0	0.0	0.0	(30,9)	(5,9)	10
BFS-PS	3	37.46425	29.73002	1.2601487636566162	0.16	0.5059644256269407	(3,24)	(20,0)	10
BFS-PS	3	14.529964	14.207876	1.0226696729660034	0.0	0.0	(28,13)	(17,5)	10
BFS-PS	3	22.110771	19.027409	1.1620484590530396	0.0	0.0	(21,0)	(3,6)	10
BFS-PS	3	23.027756	22.36068	1.0298326015472412	0.15	0.4743416490252569	(6,23)	(2,1)	10
BFS-PS	3	16.27882	16.27882	1.0	0.0	0.0	(14,14)	(11,30)	10
BFS-PS	3	19.0	18.029387	1.0538350343704224	0.0	0.0	(11,17)	(29,16)	10
BFS-PS	3	17.029387	17.029387	1.0	0.16	0.5059644256269407	(23,27)	(22,10)	10
BFS-PS	3	20.22375	20.22375	1.0	0.16	0.5059644256269407	(7,22)	(27,25)	10
BFS-PS	3	18.324554	17.288631	1.0599193572998047	0.0	0.0	(5,21)	(22,22)	10
BFS-PS	3	42.41088	35.61313	1.1908776760101318	0.16	0.5059644256269407	(0,28)	(28,6)	10
BFS-PS	3	1.0	1.0	1.0	0.0	0.0	(20,24)	(19,24)	10
BFS-PS	3	18.267288	18.267288	1.0	0.0	0.0	(17,1)	(19,19)	10
BFS-PS	3	14.0	10.303087	1.3588160276412964	0.0	0.0	(17,22)	(26,17)	10
BFS-PS	3	8.062258	8.062258	1.0	0.0	0.0	(18,1)	(22,8)	10
BFS-PS	3	18.033297	15.880827	1.135538935661316	0.16	0.5059644256269407	(4,13)	(19,17)	10
BFS-PS	3	8.547442	7.81025	1.0943878889083862	0.0	0.0	(17,9)	(12,3)	10
BFS-PS	3	9.571156	9.516178	1.0057772397994995	0.0	0.0	(10,28)	(1,25)	10
BFS-PS	3	18.132746	15.866069	1.142863154411316	0.0	0.0	(24,13)	(9,8)	10
BFS-PS	3	9.486833	9.486833	1.0	0.0	0.0	(7,18)	(10,9)	10
BFS-PS	3	15.132746	15.132746	1.0	0.15	0.4743416490252569	(3,0)	(18,2)	10
BFS-PS	3	19.209373	19.209373	1.0	0.0	0.0	(0,24)	(12,9)	10
BFS-PS	3	2.236068	2.236068	1.0	0.0	0.0	(4,5)	(3,7)	10
BFS-PS	3	28.70992	26.698292	1.0753467082977295	0.31	0.6539622822966679	(29,14)	(4,5)	10
BFS-PS	3	22.342367	19.344923	1.154947280883789	0.15	0.4743416490252569	(9,9)	(23,22)	10
BFS-PS	3	12.0415945	12.0415945	1.0	0.0	0.0	(9,29)	(8,17)	10
BFS-PS	3	11.0	8.5440035	1.2874526977539062	0.0	0.0	(5,30)	(13,27)	10
BFS-PS	3	26.60555	22.135944	1.201916217803955	0.15	0.4743416490252569	(30,13)	(9,20)	10
BFS-PS	3	14.422205	14.422205	1.0	0.0	0.0	(20,12)	(8,4)	10
BFS-PS	3	20.103851	18.878912	1.0648839473724365	0.16	0.5059644256269407	(25,13)	(15,29)	10
BFS-PS	3	19.0	16.401754	1.1584126949310303	0.0	0.0	(13,1)	(29,4)	10
BFS-PS	3	8.246211	8.246211	1.0	0.0	0.0	(19,9)	(11,11)	10
BFS-PS	3	27.248287	21.763353	1.252026081085205	0.0	0.0	(8,21)	(26,9)	10
BFS-PS	3	17.329985	14.601126	1.1868937015533447	0.15	0.4743416490252569	(20,7)	(12,19)	10
BFS-PS	3	24.206554	21.603264	1.1205044984817505	0.0	0.0	(9,10)	(19,29)	10
BFS-PS	3	14.433981	14.077163	1.025347352027893	0.0	0.0	(24,19)	(29,6)	10
BFS-PS	3	17.088007	17.088007	1.0	0.0	0.0	(3,23)	(19,17)	10
BFS-PS	3	19.828426	18.560623	1.0683060884475708	0.16	0.5059644256269407	(8,11)	(26,12)	10
BFS-PS	3	31.020824	25.334217	1.2244634628295898	0.16	0.5059644256269407	(24,10)	(0,2)	10
BFS-PS	3	13.055386	10.52623	1.240271806716919	0.0	0.0	(28,5)	(19,0)	10
BFS-PS	3	7.071068	7.071068	1.0	0.16	0.5059644256269407	(14,16)	(9,21)	10
BFS-PS	3	29.693033	23.345926	1.2718721628189087	0.0	0.0	(27,30)	(10,14)	10
BFS-PS	3	17.16151	17.117243	1.0025861263275146	0.15	0.4743416490252569	(13,15)	(30,13)	10
BFS-PS	3	22.120943	20.880613	1.059401035308838	0.0	0.0	(26,6)	(6,12)	10
BFS-PS	3	4.472136	4.472136	1.0	0.0	0.0	(2,1)	(6,3)	10
BFS-PS	3	33.09698	25.944273	1.2756950855255127	0.0	0.0	(27,2)	(14,24)	10
BFS-PS	3	24.203604	24.203604	1.0	0.0	0.0	(29,29)	(5,26)	10
BFS-PS	3	27.297058	21.561398	1.2660152912139893	0.0	0.0	(24,22)	(9,7)	10
BFS-PS	3	18.049875	13.892444	1.2992584705352783	0.15	0.4743416490252569	(15,10)	(8,22)	10
BFS-PS	3	12.806249	12.806249	1.0	0.0	0.0	(9,3)	(19,11)	10
BFS-PS	3	7.28011	7.28011	1.0	0.0	0.0	(3,1)	(1,8)	10
BFS-PS	3	2.0	2.0	1.0	0.0	0.0	(28,29)	(26,29)	10
BFS-PS	3	2.236068	2.236068	1.0	0.0	0.0	(6,1)	(4,2)	10
BFS-PS	3	16.414213	14.615773	1.1230478286743164	0.15	0.4743416490252569	(16,10)	(30,13)	10
BFS-PS	3	10.816654	10.816654	1.0	0.0	0.0	(14,20)	(23,14)	10
BFS-PS	3	12.280109	9.899494	1.240478515625	0.16	0.5059644256269407	(23,18)	(30,25)	10
BFS-PS	3	14.055386	13.0	1.0811835527420044	0.0	0.0	(16,13)	(11,1)	10
BFS-PS	3	21.0	17.560219	1.1958848237991333	0.0	0.0	(22,1)	(5,5)	10
BFS-PS	3	7.285383	7.28011	1.0007243156433105	0.0	0.0	(27,7)	(29,14)	10
