Algorithm	Maze	ComputedPath	OptimalPath	PathLengthRatio	Time	TimeSD	Start	End	Trails
BFS	7	360.0	290.69052	1.2384305000305176	21.8	7.927448797970535	(210,217)	(244,471)	1
BFS	7	289.0	225.38187	1.2822681665420532	10.8	7.4654760955570225	(423,181)	(303,144)	1
BFS	7	176.0	140.46623	1.2529702186584473	3.1	6.539622822966678	(346,452)	(448,500)	1
BFS	7	456.0	365.89145	1.2462712526321411	31.3	10.339245620450258	(172,165)	(455,184)	1
BFS	7	368.0	289.64417	1.270524501800537	10.9	7.5343657109717395	(418,19)	(249,172)	1
BFS	7	117.0	92.30689	1.267511010169983	4.8	7.728734264634367	(123,431)	(174,417)	1
BFS	7	582.0	466.3383	1.2480210065841675	30.0	4.944132324730441	(92,230)	(457,89)	1
BFS	7	389.0	317.43515	1.225447177886963	23.3	8.124722217473725	(316,365)	(158,148)	1
BFS	7	497.0	405.94785	1.2242952585220337	15.5	0.5270462766947299	(411,477)	(89,366)	1
BFS	7	768.0	604.4343	1.2706094980239868	31.0	0.0	(474,98)	(125,419)	1
BFS	7	349.0	288.3532	1.2103211879730225	9.4	8.099382692526634	(116,463)	(361,383)	1
BFS	7	641.0	527.75977	1.21456778049469	28.1	6.657493689236369	(479,329)	(59,332)	1
BFS	7	627.0	513.34595	1.2213985919952393	21.8	7.927448797970535	(463,305)	(109,360)	1
BFS	7	511.0	416.01135	1.2283318042755127	17.1	4.909175083453427	(457,76)	(427,379)	1
BFS	7	529.0	419.0016	1.2625250816345215	20.2	7.465476095557026	(259,15)	(435,258)	1
BFS	7	331.0	258.97018	1.2781394720077515	21.8	7.927448797970535	(283,262)	(455,403)	1
BFS	7	387.0	309.641	1.2498345375061035	21.8	7.927448797970535	(176,320)	(411,378)	1
BFS	7	494.0	400.89752	1.232235074043274	31.2	0.42163702135583186	(318,62)	(362,382)	1
BFS	7	87.0	67.8991	1.2813129425048828	1.6	5.059644256269407	(229,448)	(270,484)	1
BFS	7	229.0	184.56757	1.240738034248352	9.4	8.099382692526634	(304,242)	(184,143)	1
BFS	7	510.0	421.8172	1.2090545892715454	20.2	7.465476095557026	(467,161)	(497,443)	1
BFS	7	275.0	223.33078	1.2313573360443115	4.6	7.411702458499891	(460,233)	(330,236)	1
BFS	7	268.0	225.83704	1.1866964101791382	4.7	7.572611467944492	(420,418)	(383,229)	1
BFS	7	192.0	146.74664	1.3083775043487549	4.7	7.572611467944492	(459,79)	(371,139)	1
BFS	7	545.0	439.39432	1.2403438091278076	31.2	0.42163702135583186	(464,156)	(439,490)	1
BFS	7	554.0	438.60663	1.2630908489227295	26.6	7.560129334578577	(222,67)	(1,342)	1
BFS	7	503.0	400.48013	1.2559924125671387	21.9	7.837941906733769	(159,495)	(240,171)	1
