Algorithm	Maze	ComputedPath	OptimalPath	PathLengthRatio	Time	TimeSD	Start	End	Trails
BasicThetaStar	6	71.01294	70.946075	1.0009424686431885	1.4	0.49441323247304453	(79,10)	(99,78)	10
BasicThetaStar	6	56.091877	56.091877	1.0	1.25	0.660387091871965	(10,0)	(39,48)	10
BasicThetaStar	6	37.45698	37.45698	1.0	1.05	0.7245688373094719	(62,29)	(52,65)	10
BasicThetaStar	6	31.979883	31.979883	1.0	0.78	0.8230026326405847	(18,61)	(48,50)	10
BasicThetaStar	6	91.33012	91.29656	1.000367522239685	2.4899999999999998	0.8102811583367567	(49,94)	(31,5)	10
BasicThetaStar	6	30.138954	30.138954	1.0	0.78	0.8230026326405847	(39,64)	(57,40)	10
BasicThetaStar	6	34.08627	33.94847	1.004059076309204	0.75	0.7905694150420949	(33,91)	(52,63)	10
BasicThetaStar	6	17.44988	17.271736	1.0103142261505127	0.9400000000000001	0.8099382692526633	(94,25)	(94,42)	10
BasicThetaStar	6	38.183884	38.183884	1.0	1.1099999999999999	0.7665941994736634	(25,44)	(8,78)	10
BasicThetaStar	6	70.931366	70.666466	1.0037486553192139	2.05	0.7720823214600314	(82,13)	(73,83)	10
BasicThetaStar	6	31.850004	31.850004	1.0	0.77	0.8124722217473722	(18,54)	(28,24)	10
BasicThetaStar	6	58.690002	58.44799	1.0041406154632568	1.23	0.6498717822257967	(22,21)	(15,79)	10
BasicThetaStar	6	38.37001	38.32995	1.0010452270507812	1.0699999999999998	0.7394442357458593	(66,89)	(29,79)	10
BasicThetaStar	6	86.80581	86.69285	1.00130295753479	2.16	0.8099382692526632	(75,23)	(34,99)	10
BasicThetaStar	6	55.158173	55.057354	1.0018311738967896	1.8699999999999999	0.6498717822257969	(41,45)	(94,31)	10
BasicThetaStar	6	73.157455	73.00746	1.0020544528961182	1.7100000000000002	0.49091750834534276	(92,70)	(44,15)	10
BasicThetaStar	6	94.55919	94.524734	1.0003645420074463	1.5699999999999998	0.04830458915396571	(0,14)	(45,97)	10
BasicThetaStar	6	59.71064	59.708992	1.0000276565551758	1.26	0.6653319973266478	(26,42)	(60,91)	10
BasicThetaStar	6	30.203604	30.178892	1.0008188486099243	0.78	0.8230026326405847	(51,53)	(81,56)	10
BasicThetaStar	6	41.16558	41.16558	1.0	1.1099999999999999	0.7665941994736634	(46,99)	(28,62)	10
BasicThetaStar	6	48.83646	48.83646	1.0	1.1199999999999999	0.7728734264634368	(30,51)	(78,42)	10
BasicThetaStar	6	69.0907	69.021805	1.0009981393814087	2.17	0.8014570065407963	(96,30)	(38,67)	10
BasicThetaStar	6	61.088737	61.085346	1.0000555515289307	1.09	0.7534365710971738	(14,56)	(75,59)	10
BasicThetaStar	6	19.760925	19.760925	1.0	0.63	0.8138386408455507	(63,18)	(46,8)	10
BasicThetaStar	6	67.95032	67.95032	1.0	1.41	0.49766119666563013	(92,8)	(34,43)	10
BasicThetaStar	6	62.889915	62.833744	1.0008939504623413	1.56	0.05163977794942938	(28,78)	(37,16)	10
BasicThetaStar	6	71.06749	71.06749	1.0	1.86	0.6552353266829659	(11,65)	(80,82)	10
BasicThetaStar	6	45.80616	45.80616	1.0	1.1	0.7601169500660919	(57,91)	(18,67)	10
BasicThetaStar	6	61.2593	61.2593	1.0	1.56	0.05163977794942938	(86,29)	(26,40)	10
BasicThetaStar	6	22.186539	22.186539	1.0	0.63	0.8138386408455507	(64,2)	(43,9)	10
BasicThetaStar	6	78.17537	78.17537	1.0	1.85	0.6603870918719648	(23,17)	(53,89)	10
BasicThetaStar	6	70.14125	70.14125	1.0	1.1199999999999999	0.7728734264634368	(93,83)	(37,41)	10
BasicThetaStar	6	70.35477	70.26384	1.0012941360473633	1.1199999999999999	0.7728734264634368	(54,8)	(8,61)	10
BasicThetaStar	6	88.7288	88.698235	1.0003446340560913	2.33	0.8340663442836345	(33,85)	(8,0)	10
BasicThetaStar	6	10.944272	10.944272	1.0	0.63	0.8138386408455507	(64,72)	(60,82)	10
BasicThetaStar	6	37.849026	37.849026	1.0	0.96	0.8262364471909156	(50,51)	(39,87)	10
BasicThetaStar	6	19.104973	19.104973	1.0	0.79	0.8332666639997865	(8,36)	(21,50)	10
BasicThetaStar	6	30.117447	30.117447	1.0	0.9400000000000001	0.8099382692526633	(24,58)	(16,87)	10
BasicThetaStar	6	64.8365	64.71321	1.0019052028656006	0.96	0.8262364471909156	(93,72)	(30,86)	10
BasicThetaStar	6	94.2556	94.09929	1.0016611814498901	4.5200000000000005	0.46619023298791423	(94,8)	(68,97)	10
BasicThetaStar	6	61.691994	61.691994	1.0	1.1199999999999999	0.7728734264634368	(25,53)	(86,45)	10
BasicThetaStar	6	52.464424	52.464424	1.0	0.96	0.8262364471909156	(45,80)	(48,28)	10
BasicThetaStar	6	82.95198	82.95198	1.0	1.55	0.05270462766947149	(7,29)	(89,41)	10
BasicThetaStar	6	10.440307	10.440307	1.0	0.79	0.8332666639997865	(41,69)	(44,79)	10
BasicThetaStar	6	60.13442	60.12398	1.000173568725586	1.41	0.49766119666563013	(51,45)	(81,97)	10
BasicThetaStar	6	54.19364	54.170982	1.0004183053970337	1.41	0.49766119666563013	(51,56)	(71,6)	10
BasicThetaStar	6	99.52604	99.35069	1.0017648935317993	2.8	0.6599663291074457	(33,0)	(86,84)	10
BasicThetaStar	6	52.079872	52.079872	1.0	0.77	0.8124722217473722	(73,69)	(21,71)	10
BasicThetaStar	6	66.36068	66.17649	1.0027832984924316	1.25	0.660387091871965	(61,11)	(66,76)	10
BasicThetaStar	6	17.264545	17.262676	1.000108242034912	0.78	0.8230026326405847	(96,20)	(99,37)	10
BasicThetaStar	6	47.757793	47.757793	1.0	1.25	0.660387091871965	(71,81)	(45,41)	10
BasicThetaStar	6	29.560066	29.560066	1.0	0.93	0.801457006540796	(18,38)	(36,15)	10
BasicThetaStar	6	62.469513	62.449516	1.0003201961517334	1.56	0.05163977794942938	(74,53)	(32,7)	10
BasicThetaStar	6	39.623226	39.623226	1.0	1.1	0.7601169500660919	(44,39)	(83,46)	10
BasicThetaStar	6	59.052597	59.04158	1.000186562538147	0.95	0.8181958472422385	(18,6)	(77,4)	10
BasicThetaStar	6	93.363846	93.35997	1.0000414848327637	1.56	0.05163977794942938	(96,46)	(4,31)	10
BasicThetaStar	6	56.93416	56.893425	1.000715970993042	1.25	0.660387091871965	(40,5)	(91,30)	10
BasicThetaStar	6	30.02524	30.016663	1.0002857446670532	0.78	0.8230026326405847	(29,73)	(3,88)	10
BasicThetaStar	6	43.60037	43.438667	1.0037225484848022	1.08	0.7465476095557022	(97,15)	(94,58)	10
BasicThetaStar	6	64.513565	64.513565	1.0	1.56	0.05163977794942938	(74,36)	(13,57)	10
BasicThetaStar	6	37.767563	37.767563	1.0	1.24	0.6552353266829661	(63,79)	(98,93)	10
BasicThetaStar	6	32.335518	32.290787	1.00138521194458	0.8	0.8432740427115678	(88,96)	(59,82)	10
BasicThetaStar	6	25.497402	25.181839	1.0125313997268677	1.24	0.6552353266829661	(59,2)	(84,5)	10
BasicThetaStar	6	52.331364	52.274464	1.0010885000228882	1.25	0.660387091871965	(24,21)	(68,49)	10
BasicThetaStar	6	57.05253	57.05253	1.0	1.26	0.6653319973266478	(57,67)	(72,12)	10
BasicThetaStar	6	91.28012	91.10592	1.0019121170043945	2.4	0.8432740427115681	(7,7)	(66,76)	10
BasicThetaStar	6	48.239086	48.239086	1.0	1.28	0.6746192341692543	(49,100)	(97,99)	10
BasicThetaStar	6	53.887756	53.886803	1.0000176429748535	1.1099999999999999	0.7665941994736634	(14,41)	(65,56)	10
BasicThetaStar	6	44.0	44.0	1.0	1.09	0.7534365710971738	(54,93)	(54,49)	10
BasicThetaStar	6	67.90888	67.90888	1.0	1.56	0.05163977794942938	(93,60)	(32,89)	10
BasicThetaStar	6	56.4138	56.407772	1.0001068115234375	1.06	0.7321202087089249	(84,59)	(36,88)	10
BasicThetaStar	6	69.62781	69.49806	1.0018669366836548	2.5	0.7745966692414837	(56,97)	(64,28)	10
BasicThetaStar	6	31.400637	31.400637	1.0	0.78	0.8230026326405847	(83,40)	(64,65)	10
BasicThetaStar	6	55.32739	55.32739	1.0	2.0300000000000002	0.7631076813486635	(98,54)	(46,70)	10
BasicThetaStar	6	19.19804	19.121166	1.0040203332901	0.61	0.7880355321938217	(76,30)	(74,11)	10
BasicThetaStar	6	35.147877	35.147877	1.0	2.0100000000000002	0.7534365710971734	(44,32)	(70,52)	10
BasicThetaStar	6	69.37351	69.37351	1.0	1.22	0.6442911695119767	(70,71)	(1,64)	10
BasicThetaStar	6	52.417854	52.416588	1.0000241994857788	1.09	0.7534365710971738	(0,19)	(51,30)	10
BasicThetaStar	6	46.58226	46.367275	1.004636526107788	1.24	0.6552353266829661	(65,50)	(55,5)	10
BasicThetaStar	6	94.997665	94.893394	1.001098871231079	1.8699999999999999	0.6498717822257969	(29,93)	(93,23)	10
BasicThetaStar	6	80.40548	80.35524	1.0006252527236938	2.31	0.8332666639997863	(28,89)	(24,9)	10
BasicThetaStar	6	82.6521	82.6348	1.0002093315124512	1.42	0.5006662228138287	(53,22)	(80,100)	10
BasicThetaStar	6	40.361168	40.322674	1.0009546279907227	1.1	0.7601169500660919	(91,49)	(54,65)	10
BasicThetaStar	6	34.624985	34.624985	1.0	1.42	0.5006662228138287	(28,59)	(20,27)	10
BasicThetaStar	6	96.17326	96.066536	1.0011110305786133	1.86	0.6552353266829659	(8,55)	(98,88)	10
BasicThetaStar	6	33.66033	33.66033	1.0	1.23	0.6498717822257967	(45,13)	(69,36)	10
BasicThetaStar	6	77.108116	77.105965	1.0000278949737549	2.1399999999999997	0.8262364471909165	(7,60)	(76,26)	10
BasicThetaStar	6	90.913956	90.84372	1.0007731914520264	2.82	0.6442911695119786	(53,1)	(27,88)	10
BasicThetaStar	6	47.735718	47.735718	1.0	0.78	0.8230026326405847	(96,30)	(89,77)	10
BasicThetaStar	6	27.921408	27.921408	1.0	0.78	0.8230026326405847	(73,48)	(79,21)	10
BasicThetaStar	6	55.047882	55.044376	1.0000636577606201	1.56	0.05163977794942938	(24,73)	(79,73)	10
BasicThetaStar	6	104.23717	104.23717	1.0	2.96	0.47888759989514507	(21,6)	(95,79)	10
BasicThetaStar	6	85.240036	85.240036	1.0	2.2199999999999998	0.8011103405759902	(80,41)	(10,89)	10
BasicThetaStar	6	41.274563	41.274563	1.0	0.93	0.801457006540796	(88,51)	(47,47)	10
BasicThetaStar	6	20.12461	20.12461	1.0	0.93	0.801457006540796	(15,3)	(6,21)	10
BasicThetaStar	6	55.430294	55.430294	1.0	1.23	0.6498717822257967	(20,0)	(65,32)	10
BasicThetaStar	6	46.0	46.0	1.0	0.9199999999999999	0.7927448797970533	(55,99)	(55,53)	10
BasicThetaStar	6	71.422165	71.31613	1.0014867782592773	1.56	0.05163977794942938	(11,53)	(80,71)	10
BasicThetaStar	6	63.19553	63.19553	1.0	1.72	0.4871686908385366	(43,20)	(80,71)	10
BasicThetaStar	6	9.958217	9.958217	1.0	0.9400000000000001	0.8099382692526633	(40,38)	(31,42)	10
