Algorithm	Maze	ComputedPath	OptimalPath	PathLengthRatio	Time	TimeSD	Start	End	Trails
BasicThetaStar_TI_H5	8	387.359	381.49512	1.0153708457946777	19.0	6.616477747093069	(362,1)	(72,248)	1
BasicThetaStar_TI_H5	8	210.62674	201.06549	1.0475529432296753	20.1	7.9923574605855645	(174,185)	(366,126)	1
BasicThetaStar_TI_H5	8	175.49055	167.4157	1.0482324361801147	18.7	6.498717822257966	(24,456)	(96,305)	1
BasicThetaStar_TI_H5	8	186.01427	177.4016	1.0485490560531616	20.5	7.487025815072068	(328,307)	(270,140)	1
BasicThetaStar_TI_H5	8	70.783165	68.74362	1.0296688079833984	17.2	4.871686908385366	(143,482)	(209,500)	1
BasicThetaStar_TI_H5	8	128.75443	121.32909	1.0612000226974487	19.0	6.324555320336759	(190,274)	(236,386)	1
BasicThetaStar_TI_H5	8	265.35913	262.34402	1.0114929676055908	19.0	6.324555320336759	(178,135)	(0,327)	1
BasicThetaStar_TI_H5	8	213.73116	209.00868	1.0225945711135864	15.6	0.5163977794943321	(281,368)	(424,216)	1
BasicThetaStar_TI_H5	8	150.2159	145.32326	1.0336673259735107	18.5	6.867799259345505	(230,151)	(347,237)	1
BasicThetaStar_TI_H5	8	97.55994	95.39449	1.0226998329162598	15.5	0.5270462766947299	(278,161)	(338,235)	1
BasicThetaStar_TI_H5	8	424.3996	396.29898	1.0709075927734375	20.4	7.3212020870892545	(54,117)	(193,488)	1
BasicThetaStar_TI_H5	8	158.65225	149.0516	1.0644115209579468	16.0	0.0	(138,17)	(167,163)	1
BasicThetaStar_TI_H5	8	261.60767	245.43925	1.0658754110336304	20.2	7.465476095557026	(262,311)	(496,384)	1
BasicThetaStar_TI_H5	8	303.60223	292.93622	1.0364106893539429	21.8	8.77876225140348	(458,80)	(170,28)	1
BasicThetaStar_TI_H5	8	292.36557	284.62167	1.0272077322006226	18.5	6.867799259345505	(351,159)	(360,443)	1
BasicThetaStar_TI_H5	8	430.75	409.40915	1.0521259307861328	20.3	7.394442357458588	(443,61)	(242,416)	1
BasicThetaStar_TI_H5	8	353.39325	343.4057	1.0290838479995728	18.8	6.442911695119766	(409,71)	(70,125)	1
BasicThetaStar_TI_H5	8	195.83861	185.50073	1.0557295083999634	19.0	6.324555320336759	(6,366)	(184,417)	1
BasicThetaStar_TI_H5	8	450.59546	430.7353	1.0461076498031616	18.6	6.552353266829658	(139,430)	(256,16)	1
BasicThetaStar_TI_H5	8	76.21593	75.99766	1.002872109413147	17.3	4.831608887776869	(389,357)	(334,409)	1
BasicThetaStar_TI_H5	8	110.93529	104.30176	1.0635993480682373	16.9	5.321862664727669	(184,290)	(219,192)	1
BasicThetaStar_TI_H5	8	281.87955	277.58838	1.0154587030410767	18.9	6.384877968032493	(104,8)	(104,285)	1
