Algorithm	Maze	ComputedPath	OptimalPath	PathLengthRatio	Time	TimeSD	Start	End	Trails
Dijkstra	1	14.828427	14.335088	1.0344147682189941	0.4	0.1566312016596097	(18,18)	(21,9)	50
Dijkstra	1	2.4142137	2.236068	1.0796691179275513	0.094	0.15145222935888986	(23,21)	(25,20)	50
Dijkstra	1	19.828426	19.472136	1.0182974338531494	0.53	0.14974051630144117	(26,15)	(23,29)	50
Dijkstra	1	22.071066	21.48768	1.0271497964859009	0.62	0.21333333333333337	(15,3)	(5,12)	50
Dijkstra	1	21.48528	21.010468	1.0225988626480103	0.968	0.09577751997902968	(19,16)	(0,10)	50
Dijkstra	1	11.071068	10.398346	1.064695119857788	0.252	0.13306639946532958	(23,4)	(28,13)	50
Dijkstra	1	20.656853	19.799725	1.0432898998260498	0.778	0.16260381299342283	(12,8)	(2,9)	50
Dijkstra	1	28.798986	27.88647	1.0327224731445312	0.9359999999999999	0.008432740427119894	(4,23)	(19,3)	50
Dijkstra	1	19.142134	18.377445	1.0416101217269897	0.8779999999999999	0.1255919318003097	(17,15)	(29,28)	50
Dijkstra	1	28.899492	28.08043	1.0291684865951538	0.8720000000000001	0.133066399465329	(25,14)	(3,23)	50
Dijkstra	1	5.2426405	5.0	1.0485280752182007	0.156	0.16460052652811694	(23,4)	(20,8)	50
Dijkstra	1	7.8284273	7.28011	1.075317144393921	0.21800000000000003	0.1506873142194347	(23,22)	(30,24)	50
Dijkstra	1	30.899494	29.797892	1.0369691848754883	0.9099999999999999	0.09486832980505214	(4,23)	(22,8)	50
Dijkstra	1	12.24264	12.2426405	0.9999999403953552	0.158	0.1666533327999573	(30,20)	(24,26)	50
Dijkstra	1	21.727919	21.050495	1.032180905342102	0.53	0.14974051630144117	(14,4)	(30,15)	50
Dijkstra	1	20.142134	18.962467	1.0622105598449707	0.686	0.12894443247642196	(15,24)	(1,12)	50
Dijkstra	1	20.485281	19.55607	1.0475151538848877	0.688	0.12795832654944117	(15,26)	(22,9)	50
Dijkstra	1	19.313707	18.414373	1.04883873462677	0.624	0.00843274042711697	(8,7)	(22,13)	50
