Algorithm	Maze	ComputedPath	OptimalPath	PathLengthRatio	Time	TimeSD	Start	End
AStar-PS	6	71.64543	70.946075	1.0098575353622437	4.7	7.572611467944492	(79,10)	(99,78)
AStar-PS	6	56.418068	56.091877	1.0058152675628662	1.6	5.059644256269407	(10,0)	(39,48)
AStar-PS	6	38.84335	37.45698	1.0370122194290161	0.0	0.0	(62,29)	(52,65)
AStar-PS	6	32.714367	31.979883	1.0229671001434326	0.0	0.0	(18,61)	(48,50)
AStar-PS	6	92.81676	91.29656	1.0166511535644531	4.7	7.572611467944492	(49,94)	(31,5)
AStar-PS	6	30.138954	30.138954	1.0	1.6	5.059644256269407	(39,64)	(57,40)
AStar-PS	6	33.996624	33.94847	1.0014184713363647	0.0	0.0	(33,91)	(52,63)
AStar-PS	6	17.271736	17.271736	1.0	1.6	5.059644256269407	(94,25)	(94,42)
AStar-PS	6	38.298897	38.183884	1.0030120611190796	0.0	0.0	(25,44)	(8,78)
AStar-PS	6	71.05339	70.666466	1.005475401878357	6.2	8.011103405759894	(82,13)	(73,83)
AStar-PS	6	33.142258	31.850004	1.0405731201171875	0.0	0.0	(18,54)	(28,24)
AStar-PS	6	58.665813	58.44799	1.003726840019226	1.6	5.059644256269407	(22,21)	(15,79)
AStar-PS	6	38.576782	38.32995	1.0064396858215332	1.6	5.059644256269407	(66,89)	(29,79)
AStar-PS	6	88.78267	86.69285	1.0241060256958008	3.1	6.539622822966678	(75,23)	(34,99)
AStar-PS	6	55.369583	55.057354	1.0056710243225098	1.6	5.059644256269407	(41,45)	(94,31)
AStar-PS	6	73.10405	73.00746	1.0013229846954346	1.5	4.743416490252569	(92,70)	(44,15)
AStar-PS	6	97.4476	94.524734	1.0309216976165771	1.6	5.059644256269407	(0,14)	(45,97)
AStar-PS	6	60.153854	59.708992	1.0074504613876343	3.2	6.7461923416925424	(26,42)	(60,91)
AStar-PS	6	30.22926	30.178892	1.001668930053711	1.6	5.059644256269407	(51,53)	(81,56)
AStar-PS	6	41.208477	41.16558	1.0010420083999634	1.5	4.743416490252569	(46,99)	(28,62)
AStar-PS	6	49.217834	48.83646	1.0078091621398926	0.0	0.0	(30,51)	(78,42)
AStar-PS	6	69.778305	69.021805	1.010960340499878	0.0	0.0	(96,30)	(38,67)
AStar-PS	6	61.086395	61.085346	1.0000171661376953	1.6	5.059644256269407	(14,56)	(75,59)
AStar-PS	6	19.760925	19.760925	1.0	0.0	0.0	(63,18)	(46,8)
AStar-PS	6	68.3043	67.95032	1.0052094459533691	0.0	0.0	(92,8)	(34,43)
AStar-PS	6	62.889915	62.833744	1.0008939504623413	3.2	6.7461923416925424	(28,78)	(37,16)
AStar-PS	6	72.88848	71.06749	1.0256234407424927	0.0	0.0	(11,65)	(80,82)
AStar-PS	6	46.32745	45.80616	1.0113803148269653	1.5	4.743416490252569	(57,91)	(18,67)
AStar-PS	6	62.15826	61.2593	1.0146746635437012	1.5	4.743416490252569	(86,29)	(26,40)
AStar-PS	6	22.4076	22.186539	1.0099637508392334	1.5	4.743416490252569	(64,2)	(43,9)
AStar-PS	6	80.18973	78.17537	1.025767207145691	4.7	7.572611467944492	(23,17)	(53,89)
AStar-PS	6	71.73131	70.14125	1.0226693153381348	4.7	7.572611467944492	(93,83)	(37,41)
AStar-PS	6	70.411125	70.26384	1.002096176147461	3.1	6.539622822966678	(54,8)	(8,61)
