Algorithm	Maze	ComputedPath	OptimalPath	PathLengthRatio	Time	TimeSD	Start	End
AStar	8	392.31107	381.49512	1.0283514261245728	57.7	16.9052917421998	(362,1)	(72,248)
AStar	8	216.43864	201.06549	1.07645845413208	35.9	7.665941994736643	(174,185)	(366,126)
AStar	8	180.82344	167.4157	1.080086588859558	34.3	6.447221623821141	(24,456)	(96,305)
AStar	8	191.02443	177.4016	1.0767909288406372	39.1	8.332666639997852	(328,307)	(270,140)
AStar	8	73.45584	68.74362	1.0685477256774902	20.4	7.3212020870892545	(143,482)	(209,500)
AStar	8	131.05385	121.32909	1.080151915550232	26.6	7.560129334578577	(190,274)	(236,386)
AStar	8	267.48758	262.34402	1.019606113433838	31.0	0.0	(178,135)	(0,327)
AStar	8	212.40428	209.00868	1.0162461996078491	23.4	10.854594521317795	(281,368)	(424,216)
AStar	8	152.62245	145.32326	1.0502272844314575	32.7	4.691600058733795	(230,151)	(347,237)
AStar	8	98.85287	95.39449	1.0362534523010254	20.4	7.3212020870892545	(278,161)	(338,235)
AStar	8	428.57584	396.29898	1.0814456939697266	141.9	17.181708620248177	(54,117)	(193,488)
AStar	8	158.01219	149.0516	1.0601173639297485	26.5	7.720823214600313	(138,17)	(167,163)
AStar	8	264.23764	245.43925	1.0765907764434814	49.8	6.442911695119821	(262,311)	(496,384)
AStar	8	309.53915	292.93622	1.0566776990890503	53.1	8.102811583367547	(458,80)	(170,28)
AStar	8	289.38477	284.62167	1.0167348384857178	31.5	0.5270462766947299	(351,159)	(360,443)
AStar	8	439.0856	409.40915	1.0724860429763794	146.6	35.362252316402184	(443,61)	(242,416)
AStar	8	361.36755	343.4057	1.0523051023483276	65.6	6.552353266829673	(409,71)	(70,125)
AStar	8	199.12492	185.50073	1.073445439338684	37.4	8.058122196475633	(6,366)	(184,417)
AStar	8	462.4631	430.7353	1.0736596584320068	148.3	10.770845422301283	(139,430)	(256,16)
AStar	8	78.2965	75.99766	1.0302488803863525	18.7	6.498717822257966	(389,357)	(334,409)
AStar	8	112.49749	104.30176	1.0785771608352661	26.4	7.647802879839997	(184,290)	(219,192)
AStar	8	281.97055	277.58838	1.0157865285873413	29.9	4.909175083453447	(104,8)	(104,285)
AStar	8	347.7474	322.2361	1.079169511795044	99.9	19.807125541638293	(397,90)	(106,227)
AStar	8	509.74246	472.2078	1.0794875621795654	185.7	15.613740387520627	(468,274)	(44,67)
AStar	8	106.5808	104.298454	1.0218828916549683	20.5	7.245688373094719	(471,171)	(402,249)
AStar	8	283.62973	278.0258	1.0201561450958252	31.4	0.5163977794944788	(470,245)	(264,431)
AStar	8	284.10773	262.72647	1.081382155418396	59.3	6.498717822258016	(129,70)	(375,162)
AStar	8	130.52693	123.384544	1.0578871965408325	24.9	8.102811583367574	(260,459)	(237,338)
AStar	8	175.13716	163.14139	1.0735299587249756	32.8	5.0066622281382935	(421,326)	(341,468)
AStar	8	222.62245	206.53613	1.0778862237930298	40.6	8.05812219647562	(7,166)	(194,80)
AStar	8	214.45584	208.0033	1.0310213565826416	32.7	9.068259663978154	(408,48)	(390,255)
AStar	8	273.6469	258.70438	1.057759165763855	57.8	10.44349877515516	(373,253)	(229,467)
AStar	8	143.55138	136.91934	1.048437476158142	29.5	5.104464277037851	(226,386)	(336,467)
AStar	8	227.8995	225.2636	1.0117014646530151	17.1	4.909175083453427	(433,69)	(430,294)
AStar	8	322.59305	299.13794	1.07840895652771	78.1	7.309810759064444	(93,473)	(191,191)
AStar	8	137.15434	127.26436	1.0777121782302856	24.9	8.102811583367574	(297,131)	(337,11)
AStar	8	210.75237	194.99802	1.0807923078536987	40.6	8.05812219647562	(188,67)	(5,134)
AStar	8	176.62245	165.63596	1.0663291215896606	31.0	0.0	(358,200)	(217,114)
AStar	8	233.63469	219.00099	1.0668202638626099	42.1	7.665941994736617	(159,8)	(345,123)
AStar	8	433.3233	422.3555	1.0259681940078735	65.4	6.653319973266431	(382,280)	(66,1)
AStar	8	462.77917	450.89386	1.0263594388961792	104.5	44.7070712776203	(90,324)	(431,30)
AStar	8	96.225426	89.55623	1.0744693279266357	23.2	8.44327477279337	(132,206)	(210,162)
AStar	8	422.96558	398.22632	1.0621236562728882	96.8	6.442911695119821	(426,121)	(37,39)
AStar	8	218.39699	205.16852	1.0644761323928833	38.9	8.130190649671148	(181,413)	(380,369)
AStar	8	393.25485	381.5801	1.0305957794189453	59.3	6.498717822258016	(272,405)	(304,25)
AStar	8	383.35767	360.12268	1.0645196437835693	100.0	7.745966692414834	(367,448)	(173,145)
AStar	8	141.26707	131.49577	1.0743088722229004	26.5	7.720823214600313	(450,418)	(389,302)
AStar	8	419.81848	388.6848	1.0801000595092773	154.5	29.725596900838024	(400,367)	(258,6)
AStar	8	19.656853	18.59388	1.057167887687683	15.6	0.5163977794943321	(177,286)	(181,304)
AStar	8	477.52924	442.33658	1.0795607566833496	162.2	15.090836071382434	(490,427)	(298,29)
AStar	8	448.8013	416.01694	1.0788053274154663	137.2	6.713171133426479	(457,217)	(84,34)
AStar	8	222.88957	219.01242	1.0177029371261597	25.1	7.837941906733756	(210,149)	(48,296)
AStar	8	190.22047	183.04808	1.0391831398010254	37.7	8.014570065407948	(220,36)	(363,150)
AStar	8	254.7646	236.34476	1.0779362916946411	51.5	7.720823214600313	(341,297)	(126,393)
AStar	8	111.68129	106.25215	1.0510966777801514	20.4	7.560129334578583	(296,248)	(210,186)
AStar	8	62.355343	57.873047	1.0774505138397217	17.3	4.831608887776869	(8,441)	(60,466)
AStar	8	327.98276	312.93115	1.0480988025665283	62.4	0.5163977794944788	(219,343)	(263,35)
AStar	8	256.27435	248.78879	1.0300880670547485	35.9	7.665941994736643	(210,415)	(370,225)
AStar	8	347.71304	337.9299	1.0289502143859863	51.5	7.487025815072068	(439,74)	(220,331)
AStar	8	364.39932	348.504	1.0456101894378662	67.5	7.245688373094719	(73,499)	(350,288)
AStar	8	202.74742	200.38849	1.01177179813385	21.8	8.148619514985347	(165,465)	(24,323)
AStar	8	182.49254	175.61382	1.0391695499420166	27.9	6.539622822966683	(380,115)	(485,254)
AStar	8	308.24493	293.21292	1.0512665510177612	81.3	21.725816696067188	(224,316)	(396,79)
AStar	8	155.62245	147.96489	1.0517525672912598	25.0	7.972173828734266	(270,477)	(390,391)
AStar	8	477.09784	446.8216	1.0677591562271118	148.2	8.230026326406083	(96,219)	(477,451)
AStar	8	323.2155	308.68103	1.0470857620239258	63.9	4.976611966656314	(15,400)	(199,153)
AStar	8	143.7646	141.58524	1.0153926610946655	20.4	7.3212020870892545	(296,200)	(394,98)
AStar	8	395.13715	371.7007	1.0630519390106201	98.1	7.76673819709556	(289,19)	(209,381)
AStar	8	137.04163	131.34279	1.043389081954956	23.4	8.235424835563876	(399,212)	(269,229)
AStar	8	254.4264	244.11143	1.042255163192749	56.2	8.148619514985311	(208,32)	(238,274)
AStar	8	199.39204	189.9832	1.0495246648788452	37.3	8.138386408455522	(229,240)	(116,88)
AStar	8	384.6985	377.05353	1.0202754735946655	31.0	0.0	(107,6)	(483,27)
AStar	8	397.1395	385.8725	1.0291987657546997	62.4	0.5163977794944788	(307,348)	(13,99)
AStar	8	239.23767	221.6125	1.0795314311981201	46.7	0.4830458915394806	(217,187)	(8,114)
AStar	8	259.17386	253.88545	1.0208299160003662	31.0	0.0	(173,118)	(359,289)
AStar	8	78.49749	73.167145	1.0728516578674316	20.2	7.465476095557026	(385,413)	(420,477)
AStar	8	302.87732	280.35095	1.080350637435913	70.0	8.432740427115679	(176,301)	(430,419)
AStar	8	127.75237	120.76796	1.0578333139419556	31.2	0.42163702135583186	(67,337)	(134,437)
AStar	8	285.91168	273.48193	1.04544997215271	48.3	4.831608887776895	(58,90)	(22,361)
AStar	8	248.63963	234.72653	1.0592737197875977	65.5	16.140012391568973	(290,141)	(335,371)
AStar	8	229.69354	212.6141	1.080330729484558	45.2	8.854377448471453	(500,141)	(311,47)
AStar	8	196.01949	192.34683	1.0190938711166382	23.4	8.235424835563876	(70,238)	(207,372)
AStar	8	214.15434	201.91028	1.0606411695480347	34.3	6.447221623821141	(343,330)	(145,369)
AStar	8	308.45587	302.21326	1.0206563472747803	32.9	4.976611966656314	(140,124)	(441,106)
AStar	8	417.9484	387.3062	1.0791161060333252	109.5	0.5270462766947299	(0,232)	(367,355)
