Algorithm	Maze	ComputedPath	OptimalPath	PathLengthRatio	Time	TimeSD	Start	End
BFS-PS	5	27.329437	24.60128	1.1108949184417725	1.6	5.059644256269407	(7,3)	(4,22)
BFS-PS	5	79.41975	74.50988	1.0658955574035645	0.0	0.0	(32,15)	(21,82)
BFS-PS	5	105.17317	88.54984	1.1877285242080688	1.5	4.743416490252569	(13,72)	(61,2)
BFS-PS	5	42.717705	40.81366	1.0466521978378296	1.5	4.743416490252569	(47,11)	(7,15)
BFS-PS	5	41.29854	32.573254	1.2678664922714233	0.0	0.0	(50,99)	(69,73)
BFS-PS	5	37.489258	36.54254	1.025907278060913	0.0	0.0	(90,71)	(83,37)
BFS-PS	5	78.787605	76.86156	1.025058627128601	1.6	5.059644256269407	(11,8)	(0,80)
BFS-PS	5	16.03122	16.03122	1.0	0.0	0.0	(89,81)	(88,65)
BFS-PS	5	54.28106	50.6475	1.0717421770095825	0.0	0.0	(67,21)	(28,22)
BFS-PS	5	49.152946	46.794167	1.0504075288772583	0.0	0.0	(95,17)	(49,22)
BFS-PS	5	37.906437	36.78066	1.0306079387664795	3.2	6.7461923416925424	(50,46)	(80,32)
BFS-PS	5	59.009613	53.877335	1.0952585935592651	0.0	0.0	(29,44)	(81,52)
BFS-PS	5	95.98208	81.85592	1.172573447227478	1.6	5.059644256269407	(5,5)	(38,74)
BFS-PS	5	16.486832	14.329437	1.1505568027496338	0.0	0.0	(71,17)	(62,7)
BFS-PS	5	63.26729	49.676014	1.273598313331604	1.6	5.059644256269407	(37,65)	(75,38)
BFS-PS	5	27.068062	23.34968	1.159247636795044	0.0	0.0	(84,42)	(97,24)
BFS-PS	5	52.020744	41.457397	1.2548000812530518	0.0	0.0	(3,92)	(33,65)
BFS-PS	5	61.92291	52.783466	1.1731497049331665	1.5	4.743416490252569	(27,40)	(73,60)
BFS-PS	5	84.89498	81.093475	1.0468780994415283	0.0	0.0	(94,16)	(73,94)
BFS-PS	5	69.27116	61.34572	1.1291930675506592	0.0	0.0	(59,43)	(4,19)
BFS-PS	5	88.0	77.00514	1.1427807807922363	0.0	0.0	(30,24)	(96,44)
BFS-PS	5	20.062258	18.667809	1.0746980905532837	0.0	0.0	(34,18)	(16,15)
BFS-PS	5	74.52752	58.77479	1.2680184841156006	1.5	4.743416490252569	(88,49)	(49,9)
BFS-PS	5	77.279335	71.86041	1.0754090547561646	1.6	5.059644256269407	(87,96)	(58,32)
BFS-PS	5	79.346794	73.66275	1.0771631002426147	1.5	4.743416490252569	(49,87)	(38,17)
BFS-PS	5	95.86253	81.08834	1.1821987628936768	1.5	4.743416490252569	(31,32)	(99,5)
BFS-PS	5	105.019226	97.07784	1.0818042755126953	1.6	5.059644256269407	(0,5)	(95,14)
BFS-PS	5	109.24454	100.42957	1.0877726078033447	0.0	0.0	(1,53)	(96,29)
BFS-PS	5	57.401756	44.47677	1.2906008958816528	1.6	5.059644256269407	(63,51)	(97,77)
BFS-PS	5	82.616974	70.13686	1.1779394149780273	1.6	5.059644256269407	(11,100)	(62,54)
BFS-PS	5	104.48381	89.5521	1.166737675666809	0.0	0.0	(3,18)	(85,48)
BFS-PS	5	93.66515	86.35926	1.0845987796783447	0.0	0.0	(15,100)	(49,22)
BFS-PS	5	99.521645	85.04148	1.1702717542648315	1.5	4.743416490252569	(32,15)	(80,82)
BFS-PS	5	114.08002	91.86362	1.2418410778045654	0.0	0.0	(10,32)	(82,77)
BFS-PS	5	57.383717	56.704487	1.0119783878326416	1.6	5.059644256269407	(22,56)	(24,0)
BFS-PS	5	88.11993	78.45758	1.123153805732727	0.0	0.0	(80,30)	(5,26)
BFS-PS	5	67.173096	58.90296	1.1404026746749878	1.6	5.059644256269407	(44,69)	(18,19)
BFS-PS	5	98.49667	77.228294	1.2753962278366089	0.0	0.0	(20,3)	(61,61)
BFS-PS	5	32.23607	27.460968	1.173886775970459	0.0	0.0	(4,64)	(21,82)
BFS-PS	5	39.5579	37.557358	1.0532662868499756	1.5	4.743416490252569	(83,59)	(75,94)
BFS-PS	5	82.63783	67.459015	1.2250080108642578	1.6	5.059644256269407	(38,44)	(5,99)
BFS-PS	5	51.150658	45.53658	1.1232872009277344	0.0	0.0	(61,35)	(87,0)
BFS-PS	5	75.83172	70.73416	1.0720664262771606	0.0	0.0	(21,84)	(47,20)
BFS-PS	5	71.1908	61.84484	1.1511194705963135	1.5	4.743416490252569	(43,59)	(92,62)
BFS-PS	5	14.440307	14.440307	1.0	0.0	0.0	(80,34)	(70,27)
BFS-PS	5	76.76783	68.20004	1.1256272792816162	1.5	4.743416490252569	(12,90)	(78,93)
BFS-PS	5	57.23607	48.514275	1.1797778606414795	0.0	0.0	(12,44)	(57,35)
BFS-PS	5	68.20979	61.808598	1.1035648584365845	1.6	5.059644256269407	(6,79)	(66,68)
BFS-PS	5	27.0	22.040432	1.2250213623046875	0.0	0.0	(67,34)	(86,44)
BFS-PS	5	45.272	43.53596	1.0398759841918945	0.0	0.0	(76,58)	(38,56)
BFS-PS	5	69.26097	62.643135	1.105643391609192	0.0	0.0	(32,91)	(88,70)
BFS-PS	5	18.233345	16.944271	1.0760772228240967	1.6	5.059644256269407	(14,71)	(30,75)
BFS-PS	5	84.63623	68.7773	1.2305837869644165	0.0	0.0	(4,21)	(42,76)
BFS-PS	5	18.846006	18.44766	1.0215933322906494	0.0	0.0	(80,31)	(76,14)
BFS-PS	5	80.54744	75.05014	1.0732483863830566	0.0	0.0	(62,22)	(39,91)
BFS-PS	5	63.4915	59.773914	1.0621941089630127	0.0	0.0	(31,39)	(56,89)
BFS-PS	5	35.571156	31.649754	1.1238999366760254	1.5	4.743416490252569	(82,60)	(55,65)
BFS-PS	5	76.81526	63.208183	1.2152739763259888	1.5	4.743416490252569	(25,30)	(80,58)
BFS-PS	5	83.5996	72.99418	1.1452913284301758	0.0	0.0	(97,14)	(68,80)
BFS-PS	5	76.350365	64.70063	1.1800559759140015	1.6	5.059644256269407	(78,67)	(35,22)
BFS-PS	5	33.255424	31.843546	1.0443379878997803	0.0	0.0	(23,55)	(30,84)
BFS-PS	5	65.466354	62.420643	1.0487933158874512	1.6	5.059644256269407	(35,97)	(19,38)
BFS-PS	5	31.236069	25.233301	1.2378907203674316	0.0	0.0	(75,18)	(54,7)
BFS-PS	5	101.9225	84.579346	1.2050518989562988	0.0	0.0	(11,51)	(84,10)
BFS-PS	5	88.25871	76.40707	1.1551119089126587	1.6	5.059644256269407	(93,42)	(24,14)
BFS-PS	5	17.274471	15.615071	1.106269121170044	0.0	0.0	(60,38)	(45,34)
BFS-PS	5	70.634415	62.77173	1.125258445739746	0.0	0.0	(83,6)	(22,18)
BFS-PS	5	87.15181	81.66162	1.0672309398651123	1.6	5.059644256269407	(93,93)	(13,88)
BFS-PS	5	55.029106	41.37326	1.3300645351409912	0.0	0.0	(51,79)	(82,52)
BFS-PS	5	5.236068	5.236068	1.0	0.0	0.0	(63,91)	(61,87)
BFS-PS	5	25.64156	24.707832	1.0377907752990723	0.0	0.0	(41,97)	(55,79)
BFS-PS	5	18.807358	18.170954	1.0350230932235718	1.5	4.743416490252569	(66,69)	(52,58)
BFS-PS	5	90.82865	73.10688	1.242409110069275	1.5	4.743416490252569	(100,20)	(46,67)
BFS-PS	5	50.829544	49.887604	1.0188812017440796	0.0	0.0	(32,80)	(35,34)
BFS-PS	5	60.024967	57.378845	1.0461167097091675	1.5	4.743416490252569	(77,89)	(63,35)
BFS-PS	5	70.9821	58.91292	1.204864740371704	1.5	4.743416490252569	(8,20)	(58,50)
BFS-PS	5	69.74657	66.54524	1.0481075048446655	1.5	4.743416490252569	(69,18)	(52,82)
BFS-PS	5	47.75622	47.75622	1.0	3.2	6.7461923416925424	(63,2)	(66,48)
BFS-PS	5	88.43648	67.65162	1.3072336912155151	1.6	5.059644256269407	(2,74)	(49,29)
BFS-PS	5	41.681065	38.67668	1.0776793956756592	1.5	4.743416490252569	(9,28)	(27,62)
BFS-PS	5	62.65888	50.555916	1.2393975257873535	0.0	0.0	(21,47)	(60,18)
BFS-PS	5	48.469555	44.207764	1.09640371799469	0.0	0.0	(92,82)	(51,91)
BFS-PS	5	90.38128	69.75085	1.2957732677459717	3.1	6.539622822966678	(70,18)	(28,73)
BFS-PS	5	45.439198	41.979034	1.0824259519577026	0.0	0.0	(3,57)	(8,17)
BFS-PS	5	54.162277	49.806236	1.0874598026275635	0.0	0.0	(52,62)	(97,66)
BFS-PS	5	62.51201	57.463333	1.087859034538269	0.0	0.0	(69,98)	(56,45)
BFS-PS	5	94.24579	89.814865	1.049333930015564	1.6	5.059644256269407	(29,7)	(57,89)
BFS-PS	5	75.72412	59.697906	1.2684552669525146	0.0	0.0	(88,21)	(40,53)
BFS-PS	5	57.818855	53.45513	1.081633448600769	0.0	0.0	(42,84)	(18,41)
BFS-PS	5	45.402676	43.08439	1.0538080930709839	0.0	0.0	(4,60)	(16,19)
BFS-PS	5	36.733154	36.31408	1.0115402936935425	0.0	0.0	(76,69)	(86,35)
BFS-PS	5	70.64156	56.022575	1.2609481811523438	0.0	0.0	(25,30)	(69,63)
BFS-PS	5	125.026825	100.47384	1.2443718910217285	3.1	6.539622822966678	(92,17)	(5,63)
BFS-PS	5	53.703175	48.265617	1.112658977508545	0.0	0.0	(45,65)	(82,95)
BFS-PS	5	49.763348	43.68731	1.1390801668167114	0.0	0.0	(26,31)	(51,3)
BFS-PS	5	49.756577	45.120537	1.102747917175293	0.0	0.0	(94,86)	(77,45)
BFS-PS	5	40.517582	40.411537	1.0026241540908813	0.0	0.0	(87,13)	(83,52)
BFS-PS	5	18.0	17.041595	1.056239128112793	0.0	0.0	(94,42)	(79,43)
BFS-PS	5	36.242638	33.35645	1.0865256786346436	0.0	0.0	(61,39)	(32,32)
BFS-PS	5	41.69422	35.893044	1.1616240739822388	0.0	0.0	(23,46)	(51,26)
