Algorithm	Maze	ComputedPath	OptimalPath	PathLengthRatio	Time	TimeSD	Start	End
BFS	3	22.0	16.892445	1.3023574352264404	0.0	0.0	(10,26)	(17,11)
BFS	3	25.0	25.0	1.0	0.0	0.0	(30,9)	(5,9)
BFS	3	41.0	29.73002	1.379077434539795	0.0	0.0	(3,24)	(20,0)
BFS	3	19.0	14.207876	1.3372864723205566	1.5	4.743416490252569	(28,13)	(17,5)
BFS	3	24.0	19.027409	1.2613383531570435	0.0	0.0	(21,0)	(3,6)
BFS	3	26.0	22.36068	1.1627553701400757	0.0	0.0	(6,23)	(2,1)
BFS	3	19.0	16.27882	1.1671607494354248	0.0	0.0	(14,14)	(11,30)
BFS	3	19.0	18.029387	1.0538350343704224	0.0	0.0	(11,17)	(29,16)
BFS	3	18.0	17.029387	1.0569963455200195	0.0	0.0	(23,27)	(22,10)
BFS	3	23.0	20.22375	1.1372767686843872	0.0	0.0	(7,22)	(27,25)
BFS	3	20.0	17.288631	1.156829595565796	0.0	0.0	(5,21)	(22,22)
BFS	3	50.0	35.61313	1.4039766788482666	0.0	0.0	(0,28)	(28,6)
BFS	3	1.0	1.0	1.0	0.0	0.0	(20,24)	(19,24)
BFS	3	20.0	18.267288	1.0948532819747925	0.0	0.0	(17,1)	(19,19)
BFS	3	14.0	10.303087	1.3588160276412964	0.0	0.0	(17,22)	(26,17)
BFS	3	11.0	8.062258	1.364382028579712	0.0	0.0	(18,1)	(22,8)
BFS	3	19.0	15.880827	1.1964112520217896	0.0	0.0	(4,13)	(19,17)
BFS	3	11.0	7.81025	1.4084056615829468	0.0	0.0	(17,9)	(12,3)
BFS	3	12.0	9.516178	1.2610104084014893	0.0	0.0	(10,28)	(1,25)
BFS	3	20.0	15.866069	1.2605516910552979	0.0	0.0	(24,13)	(9,8)
BFS	3	12.0	9.486833	1.2649110555648804	0.0	0.0	(7,18)	(10,9)
BFS	3	17.0	15.132746	1.1233916282653809	0.0	0.0	(3,0)	(18,2)
BFS	3	27.0	19.209373	1.4055638313293457	0.0	0.0	(0,24)	(12,9)
BFS	3	3.0	2.236068	1.3416407108306885	0.0	0.0	(4,5)	(3,7)
BFS	3	34.0	26.698292	1.2734897136688232	0.0	0.0	(29,14)	(4,5)
BFS	3	27.0	19.344923	1.3957149982452393	0.0	0.0	(9,9)	(23,22)
BFS	3	13.0	12.0415945	1.0795912742614746	0.0	0.0	(9,29)	(8,17)
BFS	3	11.0	8.5440035	1.2874526977539062	0.0	0.0	(5,30)	(13,27)
BFS	3	28.0	22.135944	1.2649110555648804	0.0	0.0	(30,13)	(9,20)
BFS	3	20.0	14.422205	1.3867504596710205	0.0	0.0	(20,12)	(8,4)
BFS	3	26.0	18.878912	1.3771979808807373	0.0	0.0	(25,13)	(15,29)
BFS	3	19.0	16.401754	1.1584126949310303	0.0	0.0	(13,1)	(29,4)
BFS	3	10.0	8.246211	1.2126781940460205	0.0	0.0	(19,9)	(11,11)
BFS	3	30.0	21.763353	1.3784639835357666	0.0	0.0	(8,21)	(26,9)
BFS	3	20.0	14.601126	1.3697574138641357	0.0	0.0	(20,7)	(12,19)
BFS	3	29.0	21.603264	1.342389702796936	0.0	0.0	(9,10)	(19,29)
BFS	3	18.0	14.077163	1.2786667346954346	0.0	0.0	(24,19)	(29,6)
BFS	3	22.0	17.088007	1.2874526977539062	0.0	0.0	(3,23)	(19,17)
BFS	3	21.0	18.560623	1.131427526473999	0.0	0.0	(8,11)	(26,12)
BFS	3	32.0	25.334217	1.2631138563156128	0.0	0.0	(24,10)	(0,2)
BFS	3	14.0	10.52623	1.3300108909606934	0.0	0.0	(28,5)	(19,0)
BFS	3	10.0	7.071068	1.4142135381698608	0.0	0.0	(14,16)	(9,21)
BFS	3	33.0	23.345926	1.4135228395462036	1.5	4.743416490252569	(27,30)	(10,14)
BFS	3	19.0	17.117243	1.1099919080734253	0.0	0.0	(13,15)	(30,13)
BFS	3	26.0	20.880613	1.2451741695404053	0.0	0.0	(26,6)	(6,12)
BFS	3	6.0	4.472136	1.3416407108306885	0.0	0.0	(2,1)	(6,3)
BFS	3	35.0	25.944273	1.3490452766418457	0.0	0.0	(27,2)	(14,24)
BFS	3	27.0	24.203604	1.1155363321304321	0.0	0.0	(29,29)	(5,26)
BFS	3	30.0	21.561398	1.3913755416870117	0.0	0.0	(24,22)	(9,7)
BFS	3	19.0	13.892444	1.3676499128341675	0.0	0.0	(15,10)	(8,22)
BFS	3	18.0	12.806249	1.4055638313293457	0.0	0.0	(9,3)	(19,11)
BFS	3	9.0	7.28011	1.236245036125183	0.0	0.0	(3,1)	(1,8)
BFS	3	2.0	2.0	1.0	0.0	0.0	(28,29)	(26,29)
BFS	3	3.0	2.236068	1.3416407108306885	0.0	0.0	(6,1)	(4,2)
BFS	3	17.0	14.615773	1.1631269454956055	0.0	0.0	(16,10)	(30,13)
BFS	3	15.0	10.816654	1.3867504596710205	0.0	0.0	(14,20)	(23,14)
BFS	3	14.0	9.899494	1.4142136573791504	0.0	0.0	(23,18)	(30,25)
BFS	3	17.0	13.0	1.307692289352417	1.5	4.743416490252569	(16,13)	(11,1)
BFS	3	21.0	17.560219	1.1958848237991333	1.6	5.059644256269407	(22,1)	(5,5)
BFS	3	9.0	7.28011	1.236245036125183	0.0	0.0	(27,7)	(29,14)
BFS	3	14.0	13.038404	1.0737509727478027	0.0	0.0	(24,2)	(11,3)
BFS	3	12.0	10.198039	1.17669677734375	0.0	0.0	(19,13)	(29,15)
BFS	3	42.0	30.419281	1.3807032108306885	0.0	0.0	(26,18)	(1,1)
BFS	3	27.0	19.909462	1.356139063835144	0.0	0.0	(5,6)	(16,22)
BFS	3	4.0	3.1622777	1.2649110555648804	0.0	0.0	(11,25)	(10,22)
BFS	3	22.0	17.529964	1.2549940347671509	0.0	0.0	(29,17)	(13,11)
BFS	3	18.0	13.038404	1.3805370330810547	0.0	0.0	(12,5)	(5,16)
BFS	3	18.0	17.029387	1.0569963455200195	0.0	0.0	(15,2)	(14,19)
BFS	3	26.0	19.75934	1.3158334493637085	0.0	0.0	(11,1)	(19,19)
BFS	3	32.0	23.02204	1.389972448348999	0.0	0.0	(25,4)	(12,23)
BFS	3	24.0	20.396078	1.17669677734375	1.5	4.743416490252569	(25,13)	(5,17)
BFS	3	24.0	17.058609	1.406914234161377	0.0	0.0	(3,14)	(16,25)
BFS	3	24.0	17.207022	1.3947794437408447	0.0	0.0	(23,29)	(9,19)
BFS	3	21.0	19.104973	1.0991902351379395	0.0	0.0	(21,10)	(23,29)
BFS	3	31.0	22.20465	1.396103858947754	0.0	0.0	(23,23)	(9,6)
