Algorithm	Maze	ComputedPath	OptimalPath	PathLengthRatio	Time	TimeSD	Start	End
BasicThetaStar	8	381.8734	381.49512	1.0009915828704834	53.1	8.116512661098826	(362,1)	(72,248)
BasicThetaStar	8	201.09045	201.06549	1.0001240968704224	26.5	7.245688373094719	(174,185)	(366,126)
BasicThetaStar	8	167.46011	167.4157	1.00026535987854	18.8	6.713171133426185	(24,456)	(96,305)
BasicThetaStar	8	177.66129	177.4016	1.0014638900756836	24.9	8.102811583367574	(328,307)	(270,140)
BasicThetaStar	8	68.74362	68.74362	1.0	17.0	4.944132324730441	(143,482)	(209,500)
BasicThetaStar	8	121.43295	121.32909	1.0008560419082642	21.9	7.837941906733769	(190,274)	(236,386)
BasicThetaStar	8	262.58835	262.34402	1.0009312629699707	39.1	8.130190649671123	(178,135)	(0,327)
BasicThetaStar	8	209.12813	209.00868	1.0005714893341064	26.6	7.560129334578577	(281,368)	(424,216)
BasicThetaStar	8	145.6281	145.32326	1.002097725868225	18.8	6.713171133426185	(230,151)	(347,237)
BasicThetaStar	8	95.39639	95.39449	1.000019907951355	16.9	4.9766119666563045	(278,161)	(338,235)
BasicThetaStar	8	396.71045	396.29898	1.0010383129119873	31.0	0.0	(54,117)	(193,488)
BasicThetaStar	8	149.37126	149.0516	1.0021445751190186	23.5	8.343327340522551	(138,17)	(167,163)
BasicThetaStar	8	245.58856	245.43925	1.0006083250045776	15.6	0.5163977794943321	(262,311)	(496,384)
BasicThetaStar	8	292.979	292.93622	1.0001460313796997	25.1	8.061568636989252	(458,80)	(170,28)
BasicThetaStar	8	284.75244	284.62167	1.0004594326019287	34.3	6.7007462271003995	(351,159)	(360,443)
BasicThetaStar	8	409.52063	409.40915	1.000272274017334	68.7	10.687999500997947	(443,61)	(242,416)
BasicThetaStar	8	343.47955	343.4057	1.0002150535583496	23.4	8.235424835563876	(409,71)	(70,125)
BasicThetaStar	8	185.5675	185.50073	1.0003600120544434	21.8	7.927448797970535	(6,366)	(184,417)
BasicThetaStar	8	430.94083	430.7353	1.0004771947860718	43.5	9.846036991827953	(139,430)	(256,16)
BasicThetaStar	8	75.99766	75.99766	1.0	15.6	0.5163977794943321	(389,357)	(334,409)
BasicThetaStar	8	104.44261	104.30176	1.0013504028320312	20.2	7.927448797970535	(184,290)	(219,192)
BasicThetaStar	8	277.74655	277.58838	1.0005698204040527	32.9	4.976611966656314	(104,8)	(104,285)
BasicThetaStar	8	322.53943	322.2361	1.000941276550293	42.2	7.728734264634356	(397,90)	(106,227)
BasicThetaStar	8	472.54724	472.2078	1.0007188320159912	48.4	4.788875998951475	(468,274)	(44,67)
BasicThetaStar	8	104.298454	104.298454	1.0	17.4	4.7888759989514655	(471,171)	(402,249)
BasicThetaStar	8	278.07672	278.0258	1.0001832246780396	15.6	0.5163977794943321	(470,245)	(264,431)
BasicThetaStar	8	262.87515	262.72647	1.0005658864974976	29.8	4.871686908385346	(129,70)	(375,162)
BasicThetaStar	8	123.45342	123.384544	1.0005582571029663	20.4	7.560129334578583	(260,459)	(237,338)
BasicThetaStar	8	163.2229	163.14139	1.0004996061325073	21.8	7.927448797970535	(421,326)	(341,468)
BasicThetaStar	8	206.57944	206.53613	1.0002096891403198	26.6	7.560129334578577	(7,166)	(194,80)
BasicThetaStar	8	208.05621	208.0033	1.0002543926239014	23.4	8.235424835563876	(408,48)	(390,255)
BasicThetaStar	8	259.02725	258.70438	1.0012480020523071	31.1	0.31622776601677405	(373,253)	(229,467)
BasicThetaStar	8	136.9807	136.91934	1.0004481077194214	20.3	7.394442357458588	(226,386)	(336,467)
BasicThetaStar	8	225.73012	225.2636	1.0020710229873657	29.9	4.909175083453447	(433,69)	(430,294)
BasicThetaStar	8	299.4256	299.13794	1.0009616613388062	34.4	6.397916327472054	(93,473)	(191,191)
BasicThetaStar	8	127.26871	127.26436	1.000034213066101	18.6	6.818276093624315	(297,131)	(337,11)
BasicThetaStar	8	195.04247	194.99802	1.000227928161621	20.2	7.465476095557026	(188,67)	(5,134)
BasicThetaStar	8	165.6471	165.63596	1.0000672340393066	15.6	0.5163977794943321	(358,200)	(217,114)
BasicThetaStar	8	219.08319	219.00099	1.0003753900527954	24.8	8.230026326405845	(159,8)	(345,123)
BasicThetaStar	8	422.53745	422.3555	1.0004308223724365	46.8	0.4216370213560715	(382,280)	(66,1)
BasicThetaStar	8	451.40433	450.89386	1.0011321306228638	61.0	11.450376024878446	(90,324)	(431,30)
BasicThetaStar	8	89.55623	89.55623	1.0	20.2	7.465476095557026	(132,206)	(210,162)
BasicThetaStar	8	398.47418	398.22632	1.0006223917007446	31.1	0.31622776601677405	(426,121)	(37,39)
BasicThetaStar	8	205.35056	205.16852	1.0008872747421265	20.3	7.394442357458588	(181,413)	(380,369)
BasicThetaStar	8	381.90274	381.5801	1.0008455514907837	42.5	7.245688373094719	(272,405)	(304,25)
BasicThetaStar	8	360.221	360.12268	1.0002729892730713	43.8	6.494442068244047	(367,448)	(173,145)
BasicThetaStar	8	131.71751	131.49577	1.0016863346099854	18.8	6.713171133426185	(450,418)	(389,302)
BasicThetaStar	8	389.1047	388.6848	1.0010802745819092	48.3	4.831608887776895	(400,367)	(258,6)
BasicThetaStar	8	18.59388	18.59388	1.0	17.0	5.291502622129181	(177,286)	(181,304)
BasicThetaStar	8	442.83408	442.33658	1.0011247396469116	45.3	5.034326612809769	(490,427)	(298,29)
BasicThetaStar	8	416.17902	416.01694	1.000389575958252	46.8	0.4216370213560715	(457,217)	(84,34)
BasicThetaStar	8	219.05917	219.01242	1.0002135038375854	21.7	8.01457006540796	(210,149)	(48,296)
