Algorithm	Maze	ComputedPath	OptimalPath	PathLengthRatio	Time	TimeSD	Start	End
Dijkstra	7	306.59305	290.69052	1.05470609664917	430.5	32.44225639501667	(210,217)	(244,471)
Dijkstra	7	236.86511	225.38187	1.0509501695632935	187.3	23.108680427733397	(423,181)	(303,144)
Dijkstra	7	146.71074	140.46623	1.0444555282592773	84.2	10.840254199561473	(346,452)	(448,500)
Dijkstra	7	384.5342	365.89145	1.050951600074768	508.6	27.613201351688264	(172,165)	(455,184)
Dijkstra	7	302.97784	289.64417	1.0460346937179565	137.3	6.7667487679744	(418,19)	(249,172)
Dijkstra	7	95.56857	92.30689	1.0353351831436157	49.9	6.657493689236392	(123,431)	(174,417)
Dijkstra	7	492.75967	466.3383	1.056657075881958	588.1	20.962665224948648	(92,230)	(457,89)
Dijkstra	7	331.49255	317.43515	1.0442843437194824	415.0	23.54664401659915	(316,365)	(158,148)
Dijkstra	7	422.5048	405.94785	1.0407859086990356	301.0	14.7648230602334	(411,477)	(89,366)
Dijkstra	7	635.6112	604.4343	1.0515803098678589	580.3	30.97687309375704	(474,98)	(125,419)
Dijkstra	7	300.37985	288.3532	1.041707992553711	210.7	11.086027241532644	(116,463)	(361,383)
Dijkstra	7	551.61707	527.75977	1.0452048778533936	533.6	32.67414880299087	(479,329)	(59,332)
Dijkstra	7	536.78894	513.34595	1.045667052268982	393.1	29.224989307097953	(463,305)	(109,360)
Dijkstra	7	435.919	416.01135	1.0478535890579224	291.7	25.33793817797945	(457,76)	(427,379)
Dijkstra	7	439.96066	419.0016	1.0500215291976929	360.4	25.764747664633507	(259,15)	(435,258)
Dijkstra	7	273.2499	258.97018	1.0551403760910034	362.0	30.136725472788548	(283,262)	(455,403)
Dijkstra	7	324.2205	309.641	1.047085165977478	402.2	36.51118550070207	(176,320)	(411,378)
Dijkstra	7	420.33322	400.89752	1.04848051071167	433.7	34.351289802729696	(318,62)	(362,382)
Dijkstra	7	72.355354	67.8991	1.065630555152893	31.0	0.0	(229,448)	(270,484)
Dijkstra	7	194.43866	184.56757	1.0534822940826416	177.9	22.338059201481336	(304,242)	(184,143)
Dijkstra	7	438.33322	421.8172	1.0391544103622437	405.5	16.446884203398525	(467,161)	(497,443)
Dijkstra	7	233.99503	223.33078	1.0477509498596191	79.6	5.059644256269503	(460,233)	(330,236)
Dijkstra	7	235.48033	225.83704	1.0427002906799316	173.2	15.512002521345401	(420,418)	(383,229)
Dijkstra	7	153.92395	146.74664	1.0489095449447632	66.8	7.728734264634409	(459,79)	(371,139)
Dijkstra	7	458.00232	439.39432	1.0423492193222046	442.9	25.60577191876076	(464,156)	(439,490)
