Algorithm	Maze	ComputedPath	OptimalPath	PathLengthRatio	Time	TimeSD	Start	End
VisibilityGraph	7	290.69052	290.69052	1.0	127475.8	NaN	(210,217)	(244,471)
VisibilityGraph	7	225.38187	225.38187	1.0	91180.6	NaN	(423,181)	(303,144)
VisibilityGraph	7	140.46623	140.46623	1.0	91059.0	NaN	(346,452)	(448,500)
VisibilityGraph	7	365.89145	365.89145	1.0	91735.8	NaN	(172,165)	(455,184)
VisibilityGraph	7	289.64417	289.64417	1.0	92363.2	NaN	(418,19)	(249,172)
VisibilityGraph	7	92.30689	92.30689	1.0	91929.7	NaN	(123,431)	(174,417)
VisibilityGraph	7	466.3383	466.3383	1.0	91612.9	NaN	(92,230)	(457,89)
VisibilityGraph	7	317.43515	317.43515	1.0	91437.9	NaN	(316,365)	(158,148)
VisibilityGraph	7	405.94785	405.94785	1.0	91701.7	NaN	(411,477)	(89,366)
VisibilityGraph	7	604.4343	604.4343	1.0	91700.1	NaN	(474,98)	(125,419)
VisibilityGraph	7	288.3532	288.3532	1.0	91444.2	NaN	(116,463)	(361,383)
VisibilityGraph	7	527.75977	527.75977	1.0	91480.1	NaN	(479,329)	(59,332)
VisibilityGraph	7	513.34595	513.34595	1.0	91711.1	NaN	(463,305)	(109,360)
VisibilityGraph	7	416.01135	416.01135	1.0	91524.0	NaN	(457,76)	(427,379)
VisibilityGraph	7	419.0016	419.0016	1.0	91798.4	NaN	(259,15)	(435,258)
VisibilityGraph	7	258.97018	258.97018	1.0	91662.7	NaN	(283,262)	(455,403)
VisibilityGraph	7	309.641	309.641	1.0	91681.3	NaN	(176,320)	(411,378)
VisibilityGraph	7	400.89752	400.89752	1.0	91708.0	NaN	(318,62)	(362,382)
VisibilityGraph	7	67.8991	67.8991	1.0	91536.2	NaN	(229,448)	(270,484)
VisibilityGraph	7	184.56757	184.56757	1.0	91480.2	NaN	(304,242)	(184,143)
VisibilityGraph	7	421.8172	421.8172	1.0	91639.3	NaN	(467,161)	(497,443)
VisibilityGraph	7	223.33078	223.33078	1.0	91492.5	NaN	(460,233)	(330,236)
VisibilityGraph	7	225.83704	225.83704	1.0	91839.1	NaN	(420,418)	(383,229)
VisibilityGraph	7	146.74664	146.74664	1.0	91498.7	NaN	(459,79)	(371,139)
VisibilityGraph	7	439.39432	439.39432	1.0	91650.2	NaN	(464,156)	(439,490)
VisibilityGraph	7	438.60663	438.60663	1.0	91459.8	NaN	(222,67)	(1,342)
VisibilityGraph	7	400.48013	400.48013	1.0	91384.9	NaN	(159,495)	(240,171)
VisibilityGraph	7	93.543495	93.543495	1.0	92096.3	NaN	(72,167)	(131,225)
VisibilityGraph	7	235.73419	235.73419	1.0	91391.2	NaN	(294,273)	(385,451)
VisibilityGraph	7	541.8897	541.8897	1.0	91438.0	NaN	(390,21)	(366,472)
VisibilityGraph	7	131.9604	131.9604	1.0	91428.7	NaN	(106,197)	(169,294)
VisibilityGraph	7	346.25665	346.25665	1.0	91484.8	NaN	(359,260)	(368,11)
VisibilityGraph	7	132.0624	132.0624	1.0	91363.0	NaN	(391,215)	(293,193)
VisibilityGraph	7	364.2649	364.2649	1.0	91550.6	NaN	(333,167)	(217,440)
VisibilityGraph	7	477.05728	477.05728	1.0	91515.9	NaN	(107,191)	(493,159)
VisibilityGraph	7	421.06558	421.06558	1.0	91462.8	NaN	(108,41)	(52,380)
