Seed	Size	%Blocked	Vertices	Edges (Directed)
192903426	10	38.0	11	34
-489798922	10	31.0	12	56
1238697313	10	3.0	4	10
-1623961629	20	30.5	69	1020
727970123	20	23.25	64	760
1430329549	20	10.25	42	654
-1438744576	30	35.333332	157	2074
500656285	30	21.666666	132	2272
-369017966	30	7.333333	66	1506
1465862048	40	38.4375	275	3676
-1702795966	40	20.6875	242	5318
687626132	40	7.625	122	3872
-306659694	50	41.96	434	5150
364771594	50	21.960001	423	12678
229743849	50	6.16	162	6804
-973035019	60	41.88889	643	8162
-1562669053	60	21.38889	572	16326
1763395172	60	6.4444447	253	11792
-413154435	70	38.408165	912	13868
-102641746	70	20.714287	750	22582
-1878475200	70	6.244898	330	18574
-1814238306	80	40.75	1094	16024
849725076	80	20.59375	956	28300
-1800356763	80	5.875	384	22636
-772534231	90	41.864197	1449	21434
608621394	90	20.135801	1190	38730
-274038445	90	6.555556	531	35878
-1293278293	100	39.98	1807	26608
201219914	100	20.09	1577	53040
-1752838122	100	6.0899997	605	42144
-752607948	110	40.173553	2203	32730
-1751530383	110	21.099174	1855	59472
636940348	110	7.280992	878	60104
245110545	120	40.51389	2537	35946
496581385	120	20.930555	2236	71972
631404474	120	6.3888893	959	73300
1391422795	130	40.905327	2952	42020
-251506736	130	20.603552	2657	89392
-40032192	130	6.964497	1218	92464
-571738478	140	40.107143	3565	52544
2139252568	140	20.704082	3061	102874
-1029092006	140	6.2040815	1296	108944
826516583	150	40.862225	3983	56280
785550142	150	20.626667	3534	118198
-242843391	150	6.955556	1613	129406
422954113	160	40.359375	4520	64854
63765234	160	19.554688	3876	140822
-834395724	160	6.300781	1691	152314
-2044286978	170	40.252598	5180	76580
1880134522	170	21.096886	4673	155782
-1923910340	170	6.356402	1895	168562
1052339021	180	40.959877	5817	85034
670695629	180	21.067902	5148	176150
1635479216	180	6.493827	2171	198944
-1085314869	190	40.41828	6500	94848
-420410952	190	20.565098	5648	198476
1128032401	190	6.368421	2421	234790
1568868052	200	40.695	7240	105666
1247241688	200	20.3675	6336	224402
-398592719	200	6.5224996	2722	257532
-990727881	210	40.730156	7895	118090
-2086339528	210	20.839003	6991	241604
-1948890611	210	6.630386	3080	295672
781816307	220	40.832645	8648	126108
-1865155622	220	20.555786	7592	269752
-1970195619	220	6.597108	3334	321920
1036598160	230	40.139885	9616	144578
-742577941	230	20.771267	8418	293654
-209463960	230	6.449906	3544	346884
936599242	240	41.262154	10299	151520
-1556885440	240	20.380207	9183	336280
-1836206163	240	6.6927085	4052	387312
-247531131	250	40.4496	11307	166516
2024460831	250	21.2624	9898	335456
-233249475	250	6.6192	4273	417730
-1654633557	260	41.1716	12234	179610
383180719	260	20.87278	10723	379734
-1289489815	260	6.505917	4577	460380
464186029	270	40.941013	13275	198182
256662691	270	21.133059	11614	403520
-1309247838	270	6.522634	4984	508826
-202909770	280	40.862244	14056	209640
625911741	280	20.908163	12418	438734
2049235545	280	6.470663	5304	542728
-1066618371	290	40.803806	15200	220962
-1754532884	290	20.6956	13330	479956
-1523074330	290	6.332937	5549	584124
-955784826	300	40.554443	16051	236440
316657189	300	20.427778	13980	504300
1836372694	300	6.537778	6089	632278
