Algorithm	Maze	ComputedPath	OptimalPath	PathLengthRatio	Time	TimeSD	Start	End
VisibilityGraph	6	70.946075	70.946075	1.0	90.7	6.717307661721537	(79,10)	(99,78)
VisibilityGraph	6	56.091877	56.091877	1.0	95.2	8.978987817244283	(10,0)	(39,48)
VisibilityGraph	6	37.45698	37.45698	1.0	93.5	7.321960878829599	(62,29)	(52,65)
VisibilityGraph	6	31.979883	31.979883	1.0	88.8	7.465476095557066	(18,61)	(48,50)
VisibilityGraph	6	91.29656	91.29656	1.0	92.2	5.006662228138355	(49,94)	(31,5)
VisibilityGraph	6	30.138954	30.138954	1.0	88.8	7.465476095557066	(39,64)	(57,40)
VisibilityGraph	6	33.94847	33.94847	1.0	93.3	14.735067771212417	(33,91)	(52,63)
VisibilityGraph	6	17.271736	17.271736	1.0	88.9	7.534365710971695	(94,25)	(94,42)
VisibilityGraph	6	38.183884	38.183884	1.0	89.0	7.60116950066092	(25,44)	(8,78)
VisibilityGraph	6	70.666466	70.666466	1.0	90.7	6.70074622710043	(82,13)	(73,83)
VisibilityGraph	6	31.850004	31.850004	1.0	93.7	7.557924465236554	(18,54)	(28,24)
VisibilityGraph	6	58.44799	58.44799	1.0	95.4	8.934328302800383	(22,21)	(15,79)
VisibilityGraph	6	38.32995	38.32995	1.0	88.6	7.321202087089317	(66,89)	(29,79)
VisibilityGraph	6	86.69285	86.69285	1.0	90.5	6.60387091871965	(75,23)	(34,99)
VisibilityGraph	6	55.057354	55.057354	1.0	90.3	6.498717822258016	(41,45)	(94,31)
VisibilityGraph	6	73.00746	73.00746	1.0	92.1	8.837420438114243	(92,70)	(44,15)
VisibilityGraph	6	94.524734	94.524734	1.0	97.0	6.599663291074443	(0,14)	(45,97)
VisibilityGraph	6	59.708992	59.708992	1.0	89.0	7.60116950066092	(26,42)	(60,91)
VisibilityGraph	6	30.178892	30.178892	1.0	90.6	10.057611821677973	(51,53)	(81,56)
VisibilityGraph	6	41.16558	41.16558	1.0	90.6	9.879271228182825	(46,99)	(28,62)
VisibilityGraph	6	48.83646	48.83646	1.0	93.7	0.48304589153864375	(30,51)	(78,42)
VisibilityGraph	6	69.021805	69.021805	1.0	93.4	12.799305536716497	(96,30)	(38,67)
VisibilityGraph	6	61.085346	61.085346	1.0	90.5	6.60387091871965	(14,56)	(75,59)
VisibilityGraph	6	19.760925	19.760925	1.0	89.2	7.728734264634304	(63,18)	(46,8)
VisibilityGraph	6	67.95032	67.95032	1.0	96.8	27.120308093956304	(92,8)	(34,43)
VisibilityGraph	6	62.833744	62.833744	1.0	98.6	7.647802879840056	(28,78)	(37,16)
VisibilityGraph	6	71.06749	71.06749	1.0	90.5	6.60387091871965	(11,65)	(80,82)
